@timestamp,@billedDuration,@duration,@initDuration,,,,
12:14.4,1271,145.06,1125.33,,,,
23:03.3,1247,138.86,1107.61,,,,
33:35.1,1310,137.12,1172.25,,,,
44:08.0,1678,129.33,1548.45,,,,
54:40.2,1242,136.35,1104.65,,,,
05:11.3,1228,132.3,1094.91,,,,
15:45.4,1218,134.18,1083.55,,,,
26:17.6,1323,144.54,1177.96,,,,
36:52.2,1233,126.46,1106.11,,,,
47:25.4,1219,136.63,1082.35,,,1275.4,1340.75
57:55.4,1250,136.49,1112.71,,,,
08:27.7,1239,142.02,1096.21,,,,
19:00.0,1258,138.89,1119.02,,,,
29:31.2,1236,136.49,1099.06,,,,
40:04.1,1229,135.75,1092.7,,,,
50:37.9,1257,138.35,1118.65,,,,
01:11.9,1287,142.79,1143.68,,,,
11:47.6,1275,141.19,1133.31,,,,
22:24.7,1244,140.06,1103.13,,,,
32:59.9,1264,142.52,1121.05,,,,
