@timestamp,@billedDuration,@duration,@initDuration,,,
21:41.4,1261,130.55,1130.28,,,
32:13.8,1258,121.94,1135.54,,,
42:44.8,1336,126.78,1208.42,,,
53:13.7,1233,123.09,1109.79,,,
03:44.9,1476,129.31,1345.9,,,
14:16.4,1233,118.07,1113.97,,,
24:46.8,1265,119.91,1144.31,,,
35:18.8,1210,121.82,1087.52,,1287.2,1479.65
45:49.9,1222,129.69,1091.79,,,
56:19.6,1221,119.52,1101.25,,,
06:52.9,1441,126.27,1313.95,,,
17:27.4,1549,125.55,1423.15,,,
27:58.0,1234,124.69,1109.18,,,
38:28.3,1228,118.88,1108.85,,,
48:59.2,1264,128.25,1135.07,,,
59:29.2,1244,120.04,1123.4,,,
09:59.5,1253,123.22,1129.21,,,
20:29.8,1316,110.22,1205.08,,,
31:00.2,1215,123.39,1091.29,,,
41:30.3,1285,126.85,1157.69,,,
