@timestamp,@billedDuration,@duration,@initDuration,,,,,
21:43.3,1297,132.85,1163.57,,,,,
32:15.7,1539,123.39,1414.91,,,,,
42:46.2,1221,122.37,1097.79,,,,,
53:16.5,1236,120.4,1114.92,,,,,
03:46.6,1280,123.3,1156.25,,,,,
14:18.3,1373,117.49,1255.51,,,,,
24:48.1,1246,125.2,1120.08,,,,,
35:20.8,1306,125.9,1179.92,,,,,
45:51.3,1224,115.48,1108.15,,,,,
56:20.7,1338,131.64,1205.71,,,,,
06:55.3,1234,124.43,1109.02,,,,1277.8,1381.3
17:29.0,1214,115.57,1098.24,,,,,
27:59.9,1297,130.23,1166.74,,,,,
38:29.2,1226,118.93,1107.05,,,,,
49:00.1,1310,134.25,1175.06,,,,,
59:30.2,1279,129.91,1149.07,,,,,
10:00.9,1218,134.92,1082.44,,,,,
20:32.2,1209,116.02,1092.85,,,,,
31:01.9,1276,124.84,1151.05,,,,,
41:33.3,1233,119.56,1112.86,,,,,
