@timestamp,@billedDuration,@duration,@initDuration,total,2297.357,2346.441
18:16.5,1855,1854.95,434.5,2289.5,,
28:53.4,1849,1848.08,443.47,2292.47,,
39:32.8,1860,1859.9,439.41,2299.41,,
50:12.9,1858,1857.73,445.38,2303.38,,
00:53.4,1869,1868.86,438.18,2307.18,,
11:32.4,1863,1862.59,440.26,2303.26,,
22:10.2,1851,1850.64,442.12,2293.12,,
32:51.6,1852,1851.2,424.25,2276.25,,
43:29.9,1846,1845.88,431.27,2277.27,,
54:08.0,1858,1857.66,437.84,2295.84,,
15:28.7,1906,1905,445.78,2351.78,,
26:08.2,1903,1902.3,440.75,2343.75,,
36:45.6,1870,1869.05,442.07,2312.07,,
47:23.6,1845,1844.13,438.79,2283.79,,
58:01.6,1844,1843.37,437.38,2281.38,,
08:37.1,1861,1860.8,442.36,2303.36,,
19:13.0,1904,1903.08,442.16,2346.16,,
29:50.0,1829,1828.65,435.46,2264.46,,
40:29.4,1889,1888.77,423.99,2312.99,,
51:08.1,1790,1789.2,419.72,2209.72,,
