@timestamp,@billedDuration,@duration,@initDuration,,,
33:56.1,388,215.59,171.52,,,
44:08.1,393,218.9,173.72,,,
54:17.9,386,210.82,174.83,,,
04:27.4,360,185.6,173.52,,,
14:37.2,394,215.67,178.16,,,
34:57.0,392,207.9,183.19,,,
45:07.5,392,201.42,189.61,,,
55:16.8,362,192.92,169.04,,,
05:27.3,388,217.91,170.02,,,
15:37.1,359,185.12,173.41,,,
25:46.8,369,200.56,167.78,,,
35:56.6,359,189.25,169.6,,,
56:17.0,390,219.42,170.3,,,
06:26.4,391,217.35,173.37,,,
16:36.5,361,185.14,175,,,
26:46.2,380,207.19,172.74,,,
36:55.9,377,205.06,171.1,,,
47:05.7,380,211.98,167.75,,,
07:24.6,391,219.39,170.79,,,
17:33.6,358,185.41,172.47,,,
,,,,,378.5,393.05
