@timestamp,@billedDuration,@duration,@initDuration,,,,
23:47.1,612,169.07,442.82,,,,
33:57.6,340,170.61,168.5,,,,
44:08.4,357,169.44,186.72,,,,
54:19.0,354,174.04,179.5,,,,
04:28.2,344,177.45,166.27,,,,
14:38.1,347,174.78,171.31,,,356.2,374.5
24:48.4,362,177.32,184.53,,,,
34:57.9,344,165.35,177.93,,,,
45:08.2,341,170.58,169.81,,,,
55:17.5,319,148.82,169.6,,,,
05:27.0,343,170.4,172.31,,,,
15:38.0,342,165.11,176.84,,,,
25:46.8,341,165.18,175.16,,,,
35:56.7,337,169.15,167.72,,,,
46:08.1,339,168.97,169.7,,,,
56:17.7,343,175.07,167.17,,,,
06:27.2,353,179.36,173.5,,,,
16:36.7,336,165.29,170.42,,,,
26:46.7,339,169.02,169.75,,,,
36:56.6,331,153.31,177.64,,,,
