@timestamp,@billedDuration,@duration,@initDuration,total,253.2155,262.685
23:52.0,137,136.91,112.58,249.58,,
34:02.4,146,145.38,114.15,260.15,,
44:14.2,136,135.68,110.11,246.11,,
54:23.6,138,137.22,112.74,250.74,,
04:33.3,130,129.38,111.47,241.47,,
14:43.0,146,145.04,115.51,261.51,,
24:53.2,146,145.31,112.05,258.05,,
35:03.1,164,163.37,113.98,277.98,,
45:13.0,138,137.04,112.95,250.95,,
55:22.7,147,146.43,114.88,261.88,,
05:32.2,138,137.12,109.08,247.08,,
15:42.6,134,133.27,118.64,252.64,,
25:52.5,148,147.52,110.06,258.06,,
36:01.7,145,144.94,110.16,255.16,,
46:12.5,142,141.36,112.16,254.16,,
56:22.5,134,133.09,116.9,250.9,,
06:31.8,141,140.42,109.16,250.16,,
16:41.6,133,132.9,110.63,243.63,,
26:51.7,142,141.17,112.37,254.37,,
37:01.7,130,129.36,109.73,239.73,,
