@timestamp,@billedDuration,@duration,@initDuration,,,
09:11.7,870,41.61,827.58,,,
20:48.6,894,30.2,863.65,,,
32:25.0,862,31.23,830.68,,,
44:00.8,930,33.85,896.07,,,
55:34.5,919,35.24,882.98,,,
07:09.9,910,33.81,875.51,,,
18:45.9,911,51.71,858.56,,,
30:22.4,1019,37.69,980.33,,924.75,1145.55
41:58.5,879,34.7,843.98,,,
53:33.7,869,36.73,832.01,,,
05:07.5,882,31.73,849.46,,,
16:43.3,852,28.6,823.31,,,
28:19.7,1137,32.76,1104,,,
39:53.3,849,31.42,817.14,,,
51:26.4,867,32.63,834,,,
02:59.5,893,29.75,862.33,,,
14:34.8,874,25.75,847.4,,,
26:11.4,887,41.18,845.45,,,
37:43.8,883,27.73,854.76,,,
49:18.9,1308,35.6,1271.49,,,
