@timestamp,@billedDuration,@duration,@initDuration,total,,,,
09:27.7,154,153.6,1019.6,1173.6,,,,
21:03.9,129,128.22,1004.98,1133.98,,,,
32:40.6,145,144.24,1029.3,1174.3,,,,
44:15.5,167,166.65,1014.53,1181.53,,,,
55:50.1,168,167.4,1001.62,1169.62,,,,
07:26.7,126,125.71,1035.65,1161.65,,,,
19:02.3,188,187.24,1015.54,1203.54,,,,
30:38.6,131,130.64,1058.38,1189.38,,,1170.8175,1206.662
42:12.8,109,108.54,1007.22,1116.22,,,,
53:48.1,139,138.98,1058.37,1197.37,,,,
05:23.0,120,119.61,1029.62,1149.62,,,,
16:59.0,151,150.4,1042.67,1193.67,,,,
28:34.3,180,179.64,999.33,1179.33,,,,
40:08.0,131,130.53,1030.71,1161.71,,,,
51:41.0,140,139.46,1025.72,1165.72,,,,
03:15.0,179,178.1,1026.9,1205.9,,,,
14:50.0,178,177.43,1043.14,1221.14,,,,
26:24.0,126,125.02,1001.53,1127.53,,,,
37:59.6,118,117.86,1014.17,1132.17,,,,
49:33.7,162,161.89,1016.37,1178.37,,,,
