@timestamp,@billedDuration,@duration,@initDuration,,,,
09:09.2,841,10.09,830.72,,,,
20:47.0,843,12.72,829.89,,,,
32:22.0,842,13.4,828.24,,,,
43:58.0,884,14.09,869.38,,,,
55:31.9,864,20.25,843.58,,,,
07:07.0,1054,7.06,1046.64,,,,
18:43.6,868,5.78,861.98,,,,
30:19.5,884,10.56,872.67,,,,
41:56.5,863,14.19,848.35,,,870.05,901.05
53:30.7,869,24.4,844.56,,,,
05:04.8,830,5.58,824.2,,,,
16:40.1,854,19.7,834.1,,,,
28:17.1,889,12.34,876.31,,,,
39:50.1,852,14.53,836.64,,,,
51:24.3,893,20.63,871.59,,,,
02:57.1,854,19.82,833.9,,,,
14:32.5,851,11.47,839.11,,,,
26:08.8,867,14.02,852.36,,,,
37:41.4,845,9.22,835.38,,,,
49:15.6,854,15.24,838.74,,,,
