@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:16.0,8,7.91,1009.27,1017.27,,,
20:52.9,16,15.3,1061.85,1077.85,,,
32:29.2,8,7.74,1059.14,1067.14,,,
44:05.2,12,11.42,1047.51,1059.51,,1051.923,1082.8645
55:38.6,8,7.87,1050.92,1058.92,,,
07:14.5,18,17.35,1065.52,1083.52,,,
18:49.9,22,21.05,1008.23,1030.23,,,
30:26.6,8,7.43,1033.98,1041.98,,,
42:02.9,19,18.63,1024.23,1043.23,,,
53:37.7,18,17.4,1035.94,1053.94,,,
05:11.2,16,15.29,1066.83,1082.83,,,
16:47.6,20,19.38,1039.64,1059.64,,,
28:23.6,14,13.21,1024.33,1038.33,,,
39:56.0,15,14.25,1025.66,1040.66,,,
51:30.5,8,7.11,1018.99,1026.99,,,
03:03.9,8,7.2,1041.59,1049.59,,,
14:38.6,8,7.44,1051.34,1059.34,,,
26:14.8,17,16.43,1008.75,1025.75,,,
37:47.8,12,11.14,1038.35,1050.35,,,
49:23.2,19,18.36,1052.39,1071.39,,,
