@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:37.9,359,358.98,502.53,861.53,,,
21:14.3,351,350.2,508.59,859.59,,,
32:50.2,359,358.46,500.2,859.2,,,
44:26.0,346,345.95,500.56,846.56,,,
56:00.4,349,348.1,510.95,859.95,,,
07:37.1,333,332.69,511.75,844.75,,,
19:11.3,354,353.5,509.34,863.34,,,
30:48.6,359,358.88,508.32,867.32,,,
42:23.7,346,345.17,510.39,856.39,,,
53:58.3,357,356.89,504.49,861.49,,862.446,906.14
05:32.9,352,351.51,516.38,868.38,,,
17:09.3,377,376.83,532.18,909.18,,,
28:44.5,362,361.52,517.19,879.19,,,
40:17.9,343,342.94,503.66,846.66,,,
51:51.0,353,352.6,519.24,872.24,,,
03:25.1,352,351.76,502.94,854.94,,,
15:00.2,379,378.2,526.98,905.98,,,
26:34.6,356,355.45,503.33,859.33,,,
38:09.4,325,324.08,489.15,814.15,,,
49:43.2,348,347.97,510.75,858.75,,,
