@timestamp,@billedDuration,@duration,@initDuration,,,
09:32.9,492,46.39,444.71,,,
21:10.2,458,36.41,420.6,,,
32:46.7,494,47.32,446.49,,,
44:21.4,482,36.66,444.58,,,
55:55.8,484,52.61,430.93,,,
07:32.7,469,34.69,434.15,,,
19:07.3,484,49.67,433.44,,,
30:43.7,460,37.62,422.01,,,
42:18.7,463,34.53,427.67,,479.35,501.1
53:53.8,503,52.58,449.58,,,
05:27.9,477,41.35,434.98,,,
17:04.7,488,48.36,438.91,,,
28:39.2,472,46.14,425.82,,,
40:13.5,501,38.46,461.61,,,
51:47.0,491,42.79,447.3,,,
03:19.9,468,48.89,418.23,,,
14:56.1,485,44.69,439.88,,,
26:28.8,500,45.65,453.61,,,
38:04.6,465,38.71,425.8,,,
49:38.7,451,34.42,416.09,,,
