@timestamp,@billedDuration,@duration,@initDuration,total,,,,
10:23.7,4130,4129.39,484.42,4614.42,,,,
21:59.0,4079,4078.4,443.17,4522.17,,,,
33:35.3,4210,4209.36,448.9,4658.9,,,,
45:09.0,4182,4181.47,486.69,4668.69,,,,
56:44.2,4181,4180.84,469.53,4650.53,,,,
08:21.5,4094,4093.7,478.82,4572.82,,,,
19:55.4,4171,4170.69,518.76,4689.76,,,,
31:33.0,4235,4234.8,477.23,4712.23,,,4632.136,4697.8755
43:07.4,4193,4192.45,493.14,4686.14,,,,
54:41.4,4151,4150.96,473.59,4624.59,,,,
06:16.8,4127,4126.72,481.42,4608.42,,,,
17:53.4,4127,4126.42,463.81,4590.81,,,,
29:27.6,4136,4135.96,462.17,4598.17,,,,
41:02.5,4182,4181.54,463.86,4645.86,,,,
52:33.8,4134,4133.94,452.06,4586.06,,,,
04:08.8,4136,4135.73,461.66,4597.66,,,,
15:45.6,4166,4165.03,465.21,4631.21,,,,
27:17.7,4179,4178.81,463.33,4642.33,,,,
38:53.5,4160,4159.66,484.83,4644.83,,,,
50:26.7,4190,4189.87,507.12,4697.12,,,,
