@timestamp,@billedDuration,@duration,@initDuration,total,,,
10:27.8,3067,3066.6,459.26,3526.26,,,
22:03.2,3124,3123.76,465.88,3589.88,,,
33:39.6,3143,3142.59,495.4,3638.4,,,
45:13.3,3143,3142.17,499.76,3642.76,,,
56:48.1,3032,3031.77,441.13,3473.13,,,
08:25.6,3098,3097.32,451.06,3549.06,,,
19:59.6,3100,3099.12,469.25,3569.25,,,
31:37.3,3169,3168.01,454.41,3623.41,,,
43:11.5,3135,3134.74,494.66,3629.66,,,
54:45.5,3096,3095.9,458.08,3554.08,,,
06:21.4,3131,3130.5,497.57,3628.57,,,
17:57.8,3074,3073.9,475.71,3549.71,,3589.982,3652.1385
29:31.7,3074,3073.56,448.18,3522.18,,,
41:06.8,3153,3152.42,497.34,3650.34,,,
52:38.1,3123,3122.87,490.84,3613.84,,,
04:12.9,3132,3131.38,481.53,3613.53,,,
15:49.7,3116,3115.53,466.14,3582.14,,,
27:21.8,3153,3152.19,470.18,3623.18,,,
38:57.7,3071,3070.44,462.95,3533.95,,,
50:30.8,3181,3180.44,505.31,3686.31,,,
