@timestamp,@billedDuration,@duration,@initDuration,,,
10:03.7,2640,2080.93,558.65,,,
21:38.9,2562,2096.77,464.76,,,
33:15.3,2561,2072.58,487.57,,,
44:49.1,2465,2063.09,401,,,
56:24.0,2467,2049.65,416.65,,,
08:01.3,2502,2073.73,427.74,,,
19:35.8,2527,2070.81,455.56,,,
31:12.4,2542,2087.38,454.59,,,
42:47.7,2483,2049.41,433.05,,,
54:21.8,2421,2008.24,411.85,,2513.25,2613.4
05:56.8,2612,2092.75,518.52,,,
17:33.7,2484,2084.73,398.73,,,
29:08.1,2561,2076.39,484.39,,,
40:42.6,2519,2033.21,485.03,,,
52:14.3,2525,2077.76,446.57,,,
03:48.2,2446,2029.7,415.42,,,
15:26.1,2573,2132.15,440.19,,,
26:58.3,2488,2050.91,436.11,,,
38:33.1,2421,1988.27,432.61,,,
50:07.1,2466,2044.94,420.91,,,
