@timestamp,@billedDuration,@duration,@initDuration,,,,
10:06.3,2188,1706.09,481.81,,,,
21:41.7,2217,1775.07,441.78,,,,
33:17.9,2097,1688.55,407.84,,,,
44:51.8,2258,1731.13,526.06,,,,
56:26.4,2127,1698.52,428.47,,,,
08:03.9,2218,1738.17,478.85,,,,
19:38.2,2090,1690.81,398.37,,,,
31:14.9,2065,1674.62,389.89,,,,
42:50.4,2090,1700.56,389.24,,,,
54:24.2,2107,1702.08,404.35,,,,
05:59.5,2310,1694.51,614.71,,,2159.9,2260.6
17:36.4,2214,1752.44,460.86,,,,
29:10.6,2099,1686.85,411.61,,,,
40:45.1,2136,1690.26,445.01,,,,
52:16.8,2092,1698.41,393.57,,,,
03:50.8,2158,1707.22,449.97,,,,
15:28.7,2194,1739.4,453.88,,,,
27:00.8,2207,1723.66,482.86,,,,
38:35.5,2124,1697.85,426.05,,,,
50:09.8,2207,1752.98,453.07,,,,
