@timestamp,@billedDuration,@duration,@initDuration,,,
23:47.6,1703,593.25,1109.25,,,
36:46.8,1658,579.66,1078.14,,,
49:46.2,1703,580.31,1121.81,,,
15:34.7,1749,607.17,1140.95,,,
28:29.7,1661,571.85,1088.85,,,
41:15.6,1643,564.53,1077.62,,,
53:56.5,1652,573.46,1077.86,,,
06:42.5,1655,563.31,1091.4,,1691.05,1753.4
19:47.5,1722,618.13,1103.22,,,
32:33.6,1667,569.06,1097.42,,,
45:28.4,1681,587.54,1092.9,,,
58:30.0,1618,565.31,1051.73,,,
11:17.6,1837,671.53,1165.36,,,
24:19.8,1725,634.13,1090.42,,,
37:05.7,1663,567.34,1095,,,
49:50.4,1604,559.63,1043.99,,,
02:29.6,1726,608.59,1116.69,,,
15:34.3,1709,603.81,1104.52,,,
28:18.2,1699,592.55,1105.81,,,
41:11.5,1746,590.43,1155.56,,,
