@timestamp,@billedDuration,@duration,@initDuration,,,
10:52.3,3202,3201.02,422.89,,,
24:01.1,3345,3344.51,438.53,,,
36:59.4,3346,3345.26,442.81,,,
49:59.1,3365,3364.9,435.08,,,
02:57.0,3388,3387.83,440.98,,,
15:48.0,3382,3381.67,439.77,,,
28:43.3,3523,3522.27,469.76,,,
41:28.2,3326,3325.68,425.66,,,
54:13.0,3395,3394.95,442.46,,,
07:09.2,3416,3415.8,445.42,,,
20:00.8,3465,3464.09,443.23,,3369.45,3467.9
32:46.7,3400,3399.41,434.39,,,
45:53.4,3307,3306.75,432.66,,,
58:49.5,3299,3298.04,436.73,,,
11:30.8,3464,3463.79,459.37,,,
24:32.1,3258,3257.31,426.92,,,
37:18.5,3356,3355.27,442.21,,,
50:03.1,3388,3387.49,443.37,,,
02:42.9,3381,3380.44,433.25,,,
15:48.6,3383,3382.84,438.3,,,
