@timestamp,@billedDuration,@duration,@initDuration,,,,
04:12.1,1838,698.8,1138.44,,,,
15:54.3,1717,642.76,1073.26,,,,
27:30.7,5121,3970.86,1149.26,,,,
39:01.6,2121,1058.65,1061.41,,,,
50:45.0,1807,667.46,1139.19,,,,
02:17.2,1828,677.33,1150.35,,,,
13:47.9,1777,677.49,1098.52,,,,
25:30.1,1802,676.19,1124.85,,,,
37:06.6,1779,664.82,1113.38,,,1970.4,2271
48:39.2,1712,635.18,1076.32,,,,
00:13.1,1765,660.72,1104.09,,,,
11:45.4,1827,710.79,1115.86,,,,
23:18.1,1786,658.65,1126.7,,,,
34:50.5,1805,678.82,1125.59,,,,
46:24.2,1909,727.16,1181.49,,,,
57:52.8,1796,676.67,1118.34,,,,
09:23.8,1797,690.83,1106.1,,,,
20:55.5,1737,632.71,1103.71,,,,
32:41.9,1730,658.69,1071.26,,,,
44:16.4,1754,643.25,1110.12,,,,
