@timestamp,@billedDuration,@duration,@initDuration,,,,,
04:39.6,4855,4854.38,434.89,,,,,
16:22.4,4964,4963.29,447.37,,,,,
27:56.6,4615,4614.89,434.05,,,,,
39:39.4,4809,4808.41,436.66,,,,,
51:12.0,4788,4787.53,438,,,,,
02:44.9,4820,4819.25,454.86,,,,,
14:15.7,4809,4808.36,454.94,,,,,
25:58.2,4839,4838.43,435.09,,,,,
37:37.6,4722,4721.42,447.66,,,,4764.2,4896.55
49:07.5,4703,4702.63,434.56,,,,,
00:41.8,4798,4797.24,446.51,,,,,
12:14.4,4893,4892.93,452.53,,,,,
23:45.5,4742,4741.26,437.89,,,,,
35:16.6,4762,4761.32,435.8,,,,,
46:51.7,4710,4709.58,435.96,,,,,
58:17.7,4416,4415.72,423.32,,,,,
09:52.1,4841,4840.48,444.81,,,,,
21:35.5,4815,4814.36,447.79,,,,,
33:09.2,4654,4653.89,421.24,,,,,
44:44.2,4729,4728.87,436.36,,,,,
