@timestamp,@billedDuration,@duration,@initDuration,,,,
52:24.7,464,73.6,389.51,,,,
05:18.9,486,84.93,400.37,,,,
18:13.8,478,83.29,394.58,,,,
30:59.3,476,83.73,391.9,,,,
43:40.0,458,69.89,387.99,,,,
56:26.0,468,81.34,386.64,,,491,657.8
09:31.9,566,77.86,487.36,,,,
22:17.8,477,81.97,394.53,,,,
35:12.9,485,84.72,400.09,,,,
48:14.6,451,66.92,383.94,,,,
01:01.6,657,75.33,581.24,,,,
14:03.1,673,70.94,601.17,,,,
26:50.0,464,83.85,379.37,,,,
39:33.6,476,73.07,402.44,,,,
52:15.0,453,67.34,385.48,,,,
05:17.1,450,76.02,373.76,,,,
18:02.6,449,70.63,377.51,,,,
30:56.9,471,85.98,384.65,,,,
43:39.9,441,67.74,373.25,,,,
56:35.8,477,69.06,407.54,,,,
