@timestamp,@billedDuration,@duration,@initDuration,,,
13:38.8,103,102.07,398.09,,,
26:38.3,89,88.51,411.37,,,
39:36.8,105,104.26,400.28,,,
52:32.4,91,90.86,400.74,,,
05:25.8,86,85.72,405.61,,,
18:21.0,106,105.07,415.32,,,
31:06.4,102,101.23,426.65,,97.65,105.05
43:47.1,90,89.46,406.7,,,
56:33.1,104,103.08,404.75,,,
09:38.2,104,103.46,404.81,,,
22:24.0,89,88.39,411.29,,,
35:19.9,102,101.81,414.92,,,
48:20.9,97,96.1,423.92,,,
01:08.1,96,95.23,408.96,,,
14:10.3,102,101.72,409.85,,,
26:56.5,95,94.25,391.18,,,
39:41.2,95,94.85,396.71,,,
52:21.3,98,97.04,430.32,,,
05:25.4,100,99.35,411.87,,,
18:10.0,99,98.32,406.44,,,
