@timestamp,@billedDuration,@duration,@initDuration,,,
53:59.6,215,214.4,155.33,,,
05:41.0,239,238.65,159.2,,,
17:15.0,234,233.4,160.5,,,
28:50.1,234,233.37,159.85,,,
40:33.0,228,227.59,157.79,,,
52:05.5,227,226.78,158.7,,,
03:37.9,240,239.86,170.56,,,
15:18.2,228,227.93,166.38,,,
26:55.4,216,215.15,158.75,,,
38:27.9,240,239.71,165.91,,,
50:02.0,217,216.69,165.13,,229.95,240.2
01:36.0,227,226.43,158.89,,,
13:06.0,231,230.69,167.7,,,
24:39.3,244,243.13,166.24,,,
36:11.6,232,231.05,163.93,,,
47:43.2,225,224.1,161.42,,,
59:13.6,238,237.04,162.46,,,
10:44.2,213,212.57,157.46,,,
22:30.0,232,231.65,158.97,,,
34:03.8,239,238.33,164.17,,,
