@timestamp,@billedDuration,@duration,@initDuration,,,,
45:33.4,317,101.37,214.95,,,,
57:10.4,295,85.73,209.1,,,,
08:42.0,309,95.63,213.07,,,,
20:13.9,299,86.27,212.42,,,,
31:48.8,302,86.73,215.17,,,,
43:25.8,307,85.67,220.62,,,302.3,310.35
55:01.3,302,85.5,216.19,,,,
06:34.0,305,96.39,208.14,,,,
18:07.5,306,100.94,204.15,,,,
29:39.1,299,88.96,209.31,,,,
41:11.9,299,85.73,212.56,,,,
52:42.9,310,97.86,211.29,,,,
04:18.9,299,90.58,208.3,,,,
15:54.0,304,86.97,216.82,,,,
27:28.0,299,85.36,213.38,,,,
38:58.7,298,85.35,212.18,,,,
50:37.0,304,94.37,209.49,,,,
02:07.8,308,92.44,214.85,,,,
13:40.1,297,93.23,203.14,,,,
25:10.5,287,83.1,202.94,,,,
