@timestamp,@billedDuration,@duration,@initDuration,,,
42:13.4,276,58.72,216.97,,,
53:58.2,274,62.97,210.17,,,
05:39.7,241,36.33,203.86,,,
17:13.1,263,49.36,212.74,,,
28:47.7,283,59.06,223.88,,,
40:30.9,263,49.57,213.02,,,
52:04.5,267,56.12,210.75,,,
03:36.5,264,49.88,213.47,,,
15:16.0,272,58.46,212.97,,,
26:53.2,273,60.67,211.57,,,
38:26.5,264,46.46,217.38,,266.15,277.3
49:59.9,272,60.11,211.43,,,
01:33.9,239,35.02,203.31,,,
13:04.0,265,50.49,214.04,,,
24:37.4,260,48.22,211.37,,,
36:09.9,277,61.71,214.79,,,
47:41.0,277,59.46,217.38,,,
59:12.4,260,53.34,206.31,,,
10:42.9,270,58.7,210.78,,,
22:28.2,263,55.54,206.5,,,
