@timestamp,@billedDuration,@duration,@initDuration,,,,
05:44.7,84,83.94,165.85,,,,
17:18.3,77,76.07,162.21,,,,
28:53.5,67,66.57,156.9,,,,
40:37.5,76,75.72,162.56,,,,
52:08.9,72,71.17,158.61,,,,
03:41.2,69,68.09,158.59,,,,
15:21.5,76,75.65,162.96,,,73.65,82.1
26:58.0,77,76.85,169.06,,,,
38:31.2,78,77.6,160.28,,,,
50:04.8,72,71.09,175.07,,,,
01:39.1,67,66.94,162.37,,,,
13:09.6,73,72.95,156.84,,,,
24:42.7,78,77.33,162.11,,,,
36:14.9,68,67.77,158.23,,,,
47:46.4,71,70.28,165.6,,,,
59:16.3,68,67.39,164.28,,,,
10:47.6,70,69.73,160.46,,,,
22:33.3,73,72.43,161.51,,,,
34:07.4,82,81.33,160.33,,,,
45:40.4,75,74.29,163.22,,,,
