@timestamp,@billedDuration,@duration,@initDuration,,,,
21:11.3,1527,412.45,1114.52,,,,
32:19.8,1505,384.68,1120.29,,,,
24:46.7,1721,473.31,1247.06,,,,
35:49.1,1483,388.55,1094.27,,,,
46:48.3,1715,478.1,1236.33,,,,
57:45.4,1589,414.65,1174.01,,,,
08:43.6,1552,408.45,1143.55,,,,
19:41.7,1582,418.23,1163.65,,,,
30:39.7,1609,439.77,1168.99,,,,
41:38.3,1721,416.22,1304.06,,,,
45:38.1,1479,371.92,1106.35,,,,
55:57.5,1691,456.9,1233.44,,,1608.65,1722.25
06:59.3,1634,425.43,1208.48,,,,
18:03.2,1559,412.51,1146.17,,,,
29:05.0,1584,407.62,1176.01,,,,
40:08.0,1571,406.94,1163.14,,,,
51:10.9,1707,521.43,1185.5,,,,
02:15.4,1639,450.51,1188.35,,,,
13:19.4,1746,490.2,1255.45,,,,
24:24.8,1559,417.2,1140.93,,,,
