@timestamp,@billedDuration,@duration,@initDuration,total,4165.4125,4281.2825
49:36.1,3705,3704.3,437.24,4142.24,,
00:38.1,3721,3720.64,437.68,4158.68,,
11:39.8,3743,3742.3,443.14,4186.14,,
22:40.6,3702,3701.28,448.34,4150.34,,
33:42.6,3825,3824.98,452.24,4277.24,,
44:44.0,3665,3664.84,432.9,4097.9,,
55:32.1,3721,3720.96,448.07,4169.07,,
06:36.2,3713,3712.98,442.33,4155.33,,
17:37.1,3817,3816.27,443.94,4260.94,,
28:36.9,3573,3572.63,424.58,3997.58,,
39:40.0,3704,3703.17,434.29,4138.29,,
50:39.2,3489,3488.15,425.09,3914.09,,
01:40.5,3721,3720.74,444.9,4165.9,,
12:52.5,3906,3905.24,452.09,4358.09,,
23:57.3,3733,3732.59,436.89,4169.89,,
34:40.7,3805,3804.17,453.23,4258.23,,
45:41.8,3779,3778.78,446.2,4225.2,,
56:41.6,3605,3604.79,435.49,4040.49,,
07:45.2,3776,3775.9,446.87,4222.87,,
18:48.4,3771,3770.85,448.74,4219.74,,
