@timestamp,@billedDuration,@duration,@initDuration,,,
10:41.0,1977,807.91,1168.49,,,
23:49.5,1921,811.24,1109.66,,,
36:48.4,1962,858.49,1102.81,,,
49:48.9,1916,797.36,1118.41,,,
02:47.0,1864,781.26,1082.19,,,
15:36.9,1861,773.28,1087.11,,,
28:32.7,1842,769.75,1071.43,,,
41:17.7,1835,763.88,1070.73,,,
06:43.8,1927,810.09,1116.57,,,
19:50.0,1893,771.71,1120.73,,1894.6,1969.4
32:35.4,1928,831.81,1095.51,,,
45:30.4,1859,775.25,1083.73,,,
11:19.9,1873,769.71,1102.57,,,
24:22.4,1887,770.12,1116.11,,,
37:08.6,1969,851.18,1117.66,,,
49:53.1,1830,747.4,1081.69,,,
02:33.0,1923,815.24,1107.02,,,
15:36.7,1903,794.49,1107.7,,,
28:20.4,1886,771.05,1114.91,,,
41:14.0,1836,761.66,1073.84,,,
