@timestamp,@billedDuration,@duration,@initDuration,total,6493.6315,7145.5015,,
53:14.9,5787,5786.65,432.32,6219.32,,,,
04:46.8,5867,5866.74,450.39,6317.39,,,,
16:30.9,6088,6087.63,473.4,6561.4,,,,
28:04.4,5747,5746.99,442.35,6189.35,,,,
39:46.8,5795,5794.73,442.81,6237.81,,,,
51:20.0,5710,5709.43,432.16,6142.16,,,,
02:52.1,5916,5915.6,437.48,6353.48,,,,
14:23.1,5469,5468.87,416.17,5885.17,,,6050.1,6695.4
26:06.0,5886,5885.23,436.29,6322.29,,,,
37:45.9,6000,5999.09,450.29,6450.29,,,,
49:15.1,5703,5702.29,444.58,6147.58,,,,
00:49.6,5901,5900.44,446.88,6347.88,,,,
12:21.6,5630,5629.87,435.46,6065.46,,,,
23:54.0,5938,5937.81,451.27,6389.27,,,,
35:25.1,5812,5811.62,437.6,6249.6,,,,
46:58.5,5924,5923.9,453.21,6377.21,,,,
58:29.2,9743,9742.46,452.98,10195.98,,,,
10:00.1,5737,5736.71,438.76,6175.76,,,,
21:44.5,6535,6534.94,449.95,6984.95,,,,
33:17.7,5814,5813.28,446.28,6260.28,,,,
