@timestamp,@billedDuration,@duration,@initDuration,,,,,
27:20.9,1642,376.25,1265.27,,,,,
38:55.2,1454,370.61,1082.47,,,,,
50:39.2,1509,411.93,1096.23,,,,,
02:11.7,1552,405.89,1145.28,,,,,
25:24.2,1949,347.48,1601.5,,,,,
37:00.5,1458,380.59,1076.94,,,,1534.059701,1680.3
48:33.6,1514,388.94,1124.8,,,,,
00:07.1,1506,401.52,1103.68,,,,,
23:11.4,1454,375.05,1078.15,,,,,
34:45.0,1551,424.23,1126.73,,,,,
46:17.1,1826,426.6,1398.81,,,,,
09:18.1,1454,377.23,1076.32,,,,,
20:50.0,1511,404.29,1105.87,,,,,
32:35.1,1491,396.2,1093.95,,,,,
44:10.1,1499,388.83,1109.27,,,,,
07:19.7,1508,402.61,1104.62,,,,,
18:50.9,1541,410.97,1129.47,,,,,
30:22.9,1468,385.21,1081.86,,,,,
41:57.7,1492,396.56,1094.55,,,,,
53:34.4,1492,388.92,1102.87,,,,,
16:43.2,1500,398.95,1100.88,,,,,
28:18.0,1504,387.24,1116.17,,,,,
39:48.1,1491,385.13,1105.54,,,,,
51:21.1,1531,419.29,1111.15,,,,,
14:28.4,1566,403.18,1162.35,,,,,
26:04.7,1543,407.26,1135.25,,,,,
37:36.2,1469,388.74,1080.16,,,,,
49:07.6,1470,388.49,1080.77,,,,,
00:45.3,1537,403.85,1132.96,,,,,
12:16.4,1597,416.8,1179.89,,,,,
23:48.6,1500,391.33,1107.67,,,,,
46:49.1,1692,404.89,1286.98,,,,,
58:30.5,1560,398.78,1161.2,,,,,
09:57.9,1503,402.94,1099.21,,,,,
22:01.3,1437,374.15,1062.54,,,,,
33:31.3,1512,392.09,1119.24,,,,,
45:02.4,1544,412.09,1131.37,,,,,
56:42.2,1518,409.61,1107.52,,,,,
31:32.1,1495,401.65,1092.53,,,,,
43:25.1,1474,386.71,1086.52,,,,,
54:50.6,1585,369.55,1214.83,,,,,
06:25.3,1552,396.28,1154.8,,,,,
18:02.0,1463,372.61,1089.44,,,,,
29:31.4,1587,416.61,1170.32,,,,,
41:07.6,1551,409.26,1140.92,,,,,
52:58.2,1540,429.77,1109.26,,,,,
04:30.0,1589,408.09,1180.12,,,,,
16:28.1,1533,414.75,1117.65,,,,,
39:26.2,1501,385.67,1114.89,,,,,
50:54.5,1426,373.62,1051.91,,,,,
02:32.5,1486,388.3,1097.41,,,,,
14:02.2,1546,411.43,1134.13,,,,,
25:28.5,1453,383.6,1069.34,,,,,
37:03.2,1543,420.49,1121.75,,,,,
48:31.0,1509,400.7,1107.72,,,,,
00:12.4,1653,428.59,1223.98,,,,,
11:47.2,1700,407.25,1292.7,,,,,
23:29.8,1429,393.13,1035.46,,,,,
36:10.3,1599,451.86,1146.71,,,,,
47:52.2,1516,385.82,1129.55,,,,,
59:27.7,1476,387.73,1087.64,,,,,
11:05.2,1549,410.7,1137.46,,,,,
22:34.9,1532,404.58,1126.75,,,,,
45:35.4,1534,405.33,1127.86,,,,,
57:11.9,1517,388.2,1128.09,,,,,
08:56.7,1519,388.2,1130.08,,,,,
20:30.2,1580,419.62,1159.82,,,,,
