@timestamp,@billedDuration,@duration,@initDuration,,,
13:28.5,649,216.84,432.07,,,
39:25.5,593,209.93,382.5,,,
52:19.8,595,189.39,404.95,,,
05:15.0,639,229.97,408.94,,,
18:11.1,608,212.8,394.26,,,
30:55.6,604,214.08,389.89,,,
43:36.9,627,220.9,405.53,,,
56:22.9,598,203.03,394.92,,,
09:29.1,579,202.93,375.16,,,
22:14.2,619,231.32,387.27,,,
35:09.1,616,224.56,390.95,,609.4,649.15
48:11.4,609,204.25,404.49,,,
00:58.0,580,205.24,374.67,,,
13:59.9,597,209.37,387.17,,,
26:46.8,615,222.74,392.23,,,
39:30.3,587,209.44,376.64,,,
52:11.4,591,211.24,379.32,,,
05:14.7,652,263.68,388.29,,,
18:00.0,616,221.8,393.89,,,
30:52.8,614,219.29,394.29,,,
