@timestamp,@billedDuration,@duration,@initDuration,total,649.633,674.2535
13:34.2,243,242.1,397.59,640.59,,
26:33.3,254,253.41,431.34,685.34,,
39:33.4,247,246.08,415.17,662.17,,
52:27.9,246,245.02,410.26,656.26,,
05:21.9,255,254.37,402.82,657.82,,
18:17.1,255,254.4,403.06,658.06,,
31:02.6,237,236.6,399.26,636.26,,
43:43.1,253,252.82,400.52,653.52,,
56:29.0,232,231.57,396.49,628.49,,
09:34.2,212,211.8,399.77,611.77,,
22:20.6,245,244.04,416.9,661.9,,
35:15.3,244,243.07,410.34,654.34,,
48:17.2,254,253.45,412.14,666.14,,
01:04.6,252,251.69,409.38,661.38,,
14:06.4,240,239.19,400.32,640.32,,
26:53.0,255,254.65,418.67,673.67,,
39:37.5,242,241.37,396.07,638.07,,
52:17.4,242,241.48,399.93,641.93,,
05:20.7,248,247,411.99,659.99,,
18:05.5,213,212.02,391.64,604.64,,
