@timestamp,@billedDuration,@duration,@initDuration,,,,
13:31.3,473,92.91,379.25,,,,
26:29.6,474,86.22,387.03,,,,
39:29.1,465,87.99,376.31,,,,
52:23.5,487,101.42,385.02,,,,
05:17.7,466,89.4,376.06,,,,
18:13.5,473,88.24,384.23,,,,
30:58.2,572,88.56,483.44,,,,
43:39.8,486,93.27,391.76,,,,
56:25.4,668,92.3,575.42,,,,
09:31.1,476,98.69,377.15,,,,
22:16.7,506,98.58,407.33,,,,
35:11.3,478,90.68,387.2,,,502.7,668.45
48:13.5,483,88.92,393.45,,,,
01:00.4,677,96.78,580.06,,,,
14:01.6,482,86.86,394.14,,,,
26:49.7,472,98.52,373.36,,,,
39:33.2,476,88.84,386.73,,,,
52:13.4,479,104.41,373.65,,,,
05:16.9,473,92.73,379.74,,,,
18:02.3,488,88.06,399.52,,,,
