@timestamp,@billedDuration,@duration,@initDuration,total,514.687,534.609
30:25.1,356,355.37,171.99,527.99,,
42:14.0,339,338.09,159.9,498.9,,
53:58.7,361,360.13,157.95,518.95,,
05:41.0,356,355.47,157.69,513.69,,
17:13.7,389,388.32,165.16,554.16,,
28:49.4,356,355.67,174.65,530.65,,
40:32.7,349,348.89,160.3,509.3,,
52:05.5,364,363.97,165.5,529.5,,
03:37.7,320,319.47,156.64,476.64,,
15:17.0,342,341.1,157.48,499.48,,
26:54.0,336,335.5,150.53,486.53,,
38:27.6,354,353.24,165.21,519.21,,
50:00.9,342,341.29,156.7,498.7,,
01:35.2,357,356.76,165.08,522.08,,
13:05.3,368,367.51,165.58,533.58,,
24:38.5,361,360.14,158.3,519.3,,
36:10.8,347,346.13,160.25,507.25,,
47:42.3,354,353.91,164.98,518.98,,
59:12.6,355,354.35,159.52,514.52,,
10:43.6,357,356.34,157.33,514.33,,
