@timestamp,@billedDuration,@duration,@initDuration,,,,
05:38.8,279,61.82,216.81,,,,
17:12.9,264,52.88,211.02,,,,
28:47.6,289,78.84,209.61,,,,
40:30.3,293,60.61,231.9,,,,
52:03.8,273,59.61,212.85,,,,
03:35.8,506,55.48,450.36,,,,
15:15.5,288,74.87,212.39,,,,
26:52.1,300,78.45,220.57,,,,
38:26.1,290,79.19,209.91,,,,
49:59.4,269,52.29,215.81,,,,
01:33.0,271,54.6,215.48,,,291.65,310.3
13:03.2,292,77.56,214.09,,,,
24:36.8,263,46.8,215.31,,,,
36:08.9,295,78.04,216.51,,,,
47:40.5,272,52.29,218.83,,,,
59:11.4,283,64.35,218.22,,,,
10:42.2,295,74.66,219.46,,,,
22:27.3,271,54.92,215.28,,,,
34:01.2,270,49.27,220.08,,,,
45:34.6,270,60.29,208.79,,,,
