@timestamp,@billedDuration,@duration,@initDuration,total,255.3135,263.9925
28:52.9,96,95.42,165.03,261.03,,
40:36.3,94,93.23,169.35,263.35,,
52:08.3,100,99.64,162.86,262.86,,
03:41.3,103,102.34,162.56,265.56,,
15:21.0,95,94.77,166.3,261.3,,
26:57.1,95,94.56,166.6,261.6,,
38:31.2,96,95.95,161.43,257.43,,
50:04.5,94,93.83,159.85,253.85,,
01:38.8,83,82.82,163.01,246.01,,
13:08.6,88,87.94,158.21,246.21,,
24:42.1,85,84.16,161.05,246.05,,
36:13.9,94,93.61,159.79,253.79,,
47:45.6,82,81.96,159.89,241.89,,
59:15.9,96,95.58,161.84,257.84,,
10:46.9,90,89.27,164.92,254.92,,
22:32.8,102,101.44,161.91,263.91,,
34:07.0,96,95.14,157.91,253.91,,
45:39.3,71,70.31,159.77,230.77,,
57:15.8,94,93.84,167.49,261.49,,
08:48.4,100,99.66,162.5,262.5,,
