@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,,,
24:30.9,172,171.57,192000000,,,,,,,
24:41.1,113,112.21,192000000,,,,,,,
24:51.4,152,151.66,192000000,,,,,,,
25:01.6,126,125.54,192000000,,,,,,,
25:11.8,141,140.93,192000000,,,,436.37,2866.6,160,1229.804194
25:22.0,174,173.98,192000000,,,,,,,
25:32.1,136,135.38,192000000,,,,,,,
25:42.3,128,127.39,192000000,,,,,,,
25:52.7,131,130.06,192000000,,,,,,,
26:02.8,138,137.94,192000000,,,,,,,
26:14.0,1088,1087.12,192000000,,,,,,,
26:24.2,142,141.56,192000000,,,,,,,
26:34.4,125,124.59,192000000,,,,,,,
26:44.6,145,144.34,192000000,,,,,,,
26:54.8,141,140.74,192000000,,,,,,,
27:05.0,137,136.69,192000000,,,,,,,
27:15.1,128,127.64,192000000,,,,,,,
27:25.3,181,180.02,192000000,,,,,,,
27:35.5,170,169.21,192000000,,,,,,,
27:45.7,125,124.4,192000000,,,,,,,
27:55.8,151,150.62,192000000,,,,,,,
28:06.0,164,163.53,192000000,,,,,,,
28:16.2,133,132.96,192000000,,,,,,,
28:26.4,127,126.55,192000000,,,,,,,
28:36.6,168,167.85,192000000,,,,,,,
28:46.7,131,130.79,192000000,,,,,,,
28:56.9,129,128.75,192000000,,,,,,,
29:07.1,141,140.15,192000000,,,,,,,
29:17.3,113,112.51,192000000,,,,,,,
29:27.5,138,137.39,192000000,,,,,,,
29:37.7,145,144.55,192000000,,,,,,,
29:47.8,126,125.66,192000000,,,,,,,
29:58.1,121,120.22,192000000,,,,,,,
30:08.3,117,116.39,192000000,,,,,,,
30:18.4,113,112.56,192000000,,,,,,,
30:28.6,134,133.78,192000000,,,,,,,
30:38.8,129,128.05,192000000,,,,,,,
30:49.0,154,153.83,192000000,,,,,,,
30:59.2,110,109.42,192000000,,,,,,,
31:09.4,125,124.03,192000000,,,,,,,
31:19.5,129,128.18,192000000,,,,,,,
31:29.7,136,135.81,192000000,,,,,,,
31:39.9,109,108.19,192000000,,,,,,,
31:50.1,124,123.16,192000000,,,,,,,
32:00.4,190,189.01,192000000,,,,,,,
32:10.8,133,132.09,192000000,,,,,,,
32:21.1,163,162.04,192000000,,,,,,,
32:31.3,146,145.03,192000000,,,,,,,
32:41.4,120,119.9,192000000,,,,,,,
32:51.7,160,159.74,192000000,,,,,,,
33:01.9,142,141.2,192000000,,,,,,,
33:12.1,126,125.91,192000000,,,,,,,
33:22.3,110,109.75,192000000,,,,,,,
33:32.5,124,123.82,192000000,,,,,,,
33:51.5,8891,8890.89,192000000,,,,,,,
34:01.7,125,124.12,192000000,,,,,,,
34:11.9,145,144.64,192000000,,,,,,,
34:22.1,146,145.57,192000000,,,,,,,
34:32.3,137,136.9,192000000,,,,,,,
34:42.5,129,128.07,192000000,,,,,,,
34:52.6,125,124.91,192000000,,,,,,,
35:02.8,149,148.85,192000000,,,,,,,
35:13.2,145,144.06,192000000,,,,,,,
35:23.4,167,166.33,192000000,,,,,,,
35:33.6,145,144.1,192000000,,,,,,,
35:48.7,4983,4982.7,192000000,,,,,,,
35:58.9,145,144.67,192000000,,,,,,,
36:11.8,2940,2939.45,192000000,,,,,,,
36:22.3,126,125.38,192000000,,,,,,,
36:32.5,127,126.25,192000000,,,,,,,
36:42.8,137,136.27,192000000,,,,,,,
36:58.9,6064,6063.53,192000000,,,,,,,
37:09.1,143,142.17,192000000,,,,,,,
37:19.3,142,141.23,192000000,,,,,,,
37:29.4,122,121.15,192000000,,,,,,,
37:39.6,143,142.41,192000000,,,,,,,
37:50.0,160,159.33,192000000,,,,,,,
38:00.2,146,145.71,192000000,,,,,,,
38:10.4,126,125.61,192000000,,,,,,,
38:20.6,139,138.46,192000000,,,,,,,
38:32.3,1472,1471.42,192000000,,,,,,,
38:42.5,138,137.35,192000000,,,,,,,
38:52.7,146,145.25,192000000,,,,,,,
39:02.8,133,132.79,192000000,,,,,,,
39:16.4,3476,3475.03,192000000,,,,,,,
39:27.4,1040,1039.08,192000000,,,,,,,
39:37.7,144,143.22,192000000,,,,,,,
39:48.0,142,141.09,192000000,,,,,,,
39:58.1,126,125.17,192000000,,,,,,,
40:08.3,135,134.2,192000000,,,,,,,
40:18.5,192,191.61,192000000,,,,,,,
40:28.7,129,128.46,192000000,,,,,,,
40:38.9,129,128.84,192000000,,,,,,,
40:49.1,142,141.11,192000000,,,,,,,
40:59.3,155,154.98,192000000,,,,,,,
41:09.5,145,144.98,192000000,,,,,,,
41:20.6,1092,1091.1,192000000,,,,,,,
41:30.9,134,133.17,192000000,,,,,,,
41:41.0,129,128.86,192000000,,,,,,,
41:51.2,117,116.66,192000000,,,,,,,
