@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,,
32:49.6,140,139.88,198000000,,,,,,
32:59.9,95,94.85,198000000,,,,,,
33:10.0,95,94.54,198000000,,,,,,
33:20.2,87,86.87,199000000,,,,,,
33:30.3,94,93.73,199000000,,,,,,
33:40.5,116,115.69,199000000,,,,,,
33:52.0,1463,1462.93,199000000,,,649.64,5726.05,136.8,1639.24709
34:02.3,144,143.39,200000000,,,,,,
34:12.5,107,106.39,200000000,,,,,,
34:22.6,84,83.68,200000000,,,,,,
34:32.8,95,94.12,200000000,,,,,,
34:43.0,105,104.34,200000000,,,,,,
34:53.2,139,138.6,201000000,,,,,,
35:03.3,72,71.49,201000000,,,,,,
35:13.4,88,87.87,201000000,,,,,,
35:23.6,94,93.93,201000000,,,,,,
35:33.7,95,94.31,201000000,,,,,,
35:43.9,103,102.4,201000000,,,,,,
35:54.1,108,107.66,201000000,,,,,,
36:04.2,95,94.13,201000000,,,,,,
36:14.4,98,97.6,201000000,,,,,,
36:24.6,94,93.88,201000000,,,,,,
36:37.2,2551,2550.97,201000000,,,,,,
36:47.5,94,93.4,201000000,,,,,,
36:57.7,146,145.94,201000000,,,,,,
37:14.9,7194,7193.2,201000000,,,,,,
37:25.0,99,98.53,201000000,,,,,,
37:35.3,94,93.81,201000000,,,,,,
37:51.6,6287,6286.93,201000000,,,,,,
38:01.8,89,88.07,201000000,,,,,,
38:11.9,101,100.02,201000000,,,,,,
38:22.1,115,114.16,201000000,,,,,,
38:32.3,99,98.13,201000000,,,,,,
38:42.4,89,88.13,201000000,,,,,,
38:52.7,264,263.3,201000000,,,,,,
39:02.8,96,95.46,201000000,,,,,,
39:13.2,98,97.58,201000000,,,,,,
39:23.4,123,122.25,201000000,,,,,,
39:33.5,114,113.55,201000000,,,,,,
39:43.7,84,83.62,201000000,,,,,,
39:58.1,4348,4347.16,201000000,,,,,,
40:08.3,105,104.12,201000000,,,,,,
40:18.7,120,119.46,201000000,,,,,,
40:28.9,128,127.9,201000000,,,,,,
40:39.2,102,101.59,201000000,,,,,,
40:52.9,3432,3431.6,201000000,,,,,,
41:03.0,99,98.1,201000000,,,,,,
41:13.2,106,105.74,201000000,,,,,,
41:23.3,105,104.54,201000000,,,,,,
41:33.6,93,92.75,201000000,,,,,,
41:43.8,93,92.34,201000000,,,,,,
41:54.0,155,154.97,201000000,,,,,,
42:04.1,101,100.13,201000000,,,,,,
42:14.9,724,723.92,201000000,,,,,,
42:25.2,98,97.73,201000000,,,,,,
42:41.0,5767,5766.78,201000000,,,,,,
42:58.1,6993,6992.95,201000000,,,,,,
43:08.3,101,100.55,201000000,,,,,,
43:18.5,88,87.72,201000000,,,,,,
43:28.7,126,125.68,201000000,,,,,,
43:43.6,4843,4842.26,201000000,,,,,,
43:54.4,95,94.42,201000000,,,,,,
44:04.7,119,118.1,201000000,,,,,,
44:14.9,94,93.25,201000000,,,,,,
44:25.1,89,88.38,201000000,,,,,,
44:41.9,6747,6746.55,201000000,,,,,,
44:52.0,87,86.07,201000000,,,,,,
45:02.2,86,86,201000000,,,,,,
45:12.3,95,94.9,201000000,,,,,,
45:22.5,106,105.25,201000000,,,,,,
45:32.7,87,86.45,201000000,,,,,,
45:42.8,98,97.67,201000000,,,,,,
45:53.0,94,93.14,201000000,,,,,,
46:03.1,102,101.97,201000000,,,,,,
46:13.3,106,105.27,201000000,,,,,,
46:23.4,93,92.16,201000000,,,,,,
46:33.8,89,88.34,201000000,,,,,,
46:43.9,85,84.27,201000000,,,,,,
46:54.2,124,123.42,201000000,,,,,,
47:04.3,94,93.4,201000000,,,,,,
47:14.5,102,101.19,201000000,,,,,,
47:24.8,88,87.82,201000000,,,,,,
47:35.0,89,88.24,201000000,,,,,,
47:45.2,105,104.83,201000000,,,,,,
47:55.4,108,107.88,201000000,,,,,,
48:05.5,89,88.09,201000000,,,,,,
48:15.6,92,91.75,201000000,,,,,,
48:25.8,81,80.06,201000000,,,,,,
48:40.8,4948,4947.29,201000000,,,,,,
48:51.0,90,89.49,201000000,,,,,,
49:01.2,102,101.17,201000000,,,,,,
49:11.3,95,94.03,201000000,,,,,,
49:21.5,141,140.43,201000000,,,,,,
49:31.6,98,97.69,201000000,,,,,,
49:41.8,91,90.31,201000000,,,,,,
49:51.9,91,90.3,201000000,,,,,,
50:02.7,710,709.05,201000000,,,,,,
50:12.9,97,96.58,201000000,,,,,,
50:23.0,91,90.4,201000000,,,,,,
50:33.2,91,90.03,201000000,,,,,,
