Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1638381318,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381319,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381320,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381321,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381322,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381323,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381324,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381325,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381326,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381327,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381328,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381329,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381330,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381331,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381332,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381333,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381334,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1638381335,1,,Aggregated,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,242.66829099999754,242.66829099999754,242.66829099999754,242.66829099999754,17.0
1638381336,1,,Aggregated,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,2,0,242.66829099999754,329.09408299999933,242.66829099999754,415.5198750000011,17.0
1638381337,1,,Aggregated,1.000000,0.000000,240,240,420,420,420,420,420,420,420,420,420,3,0,240.0,242.207999666667,68.43583300000233,415.5198750000011,17.0
1638381338,1,,Aggregated,0.500000,0.000000,240,240,420,420,420,420,420,420,420,420,420,4,0,76,200.66245800000007,68.43583300000233,415.5198750000011,17.0
1638381339,1,,Aggregated,0.666667,0.000000,76,240,240,420,420,420,420,420,420,420,420,5,0,76,175.096533,68.43583300000233,415.5198750000011,17.0
1638381340,1,,Aggregated,0.666667,0.000000,76,240,240,420,420,420,420,420,420,420,420,5,0,76,175.096533,68.43583300000233,415.5198750000011,17.0
1638381341,1,,Aggregated,0.750000,0.000000,180,180,240,240,420,420,420,420,420,420,420,6,0,76,176.5284373333334,68.43583300000233,415.5198750000011,17.0
1638381342,1,,Aggregated,0.800000,0.000000,79,180,240,240,420,420,420,420,420,420,420,7,0,79,162.53074400000045,68.43583300000233,415.5198750000011,17.0
1638381343,1,,Aggregated,0.833333,0.000000,79,180,240,240,420,420,420,420,420,420,420,8,0,76,151.74568737500053,68.43583300000233,415.5198750000011,17.0
1638381344,1,,Aggregated,0.857143,0.000000,79,79,180,240,420,420,420,420,420,420,420,9,0,79,143.70067111111163,68.43583300000233,415.5198750000011,17.0
1638381345,1,,Aggregated,0.875000,0.000000,79,83,180,240,420,420,420,420,420,420,420,10,0,79,137.6103707000006,68.43583300000233,415.5198750000011,17.0
1638381346,1,,Aggregated,0.900000,0.000000,79,180,180,180,240,420,420,420,420,420,420,11,0,79,141.14734081818239,68.43583300000233,415.5198750000011,17.0
1638381347,1,,Aggregated,0.900000,0.000000,83,110,180,180,240,420,420,420,420,420,420,12,0,79,138.54811791666737,68.43583300000233,415.5198750000011,17.0
1638381348,1,,Aggregated,0.900000,0.000000,79,110,180,180,240,420,420,420,420,420,420,13,0,79,133.48849346153895,68.43583300000233,415.5198750000011,17.0
1638381349,1,,Aggregated,0.900000,0.000000,79,110,180,180,240,420,420,420,420,420,420,14,0,79,129.62040764285757,68.43583300000233,415.5198750000011,17.0
1638381350,1,,Aggregated,0.900000,0.000000,79,83,180,180,240,420,420,420,420,420,420,15,0,79,126.24626100000071,68.43583300000233,415.5198750000011,17.0
1638381351,1,,Aggregated,0.900000,0.000000,79,83,180,180,240,420,420,420,420,420,420,15,0,79,126.24626100000071,68.43583300000233,415.5198750000011,17.0
1638381352,1,,Aggregated,0.900000,0.000000,79,83,180,180,240,420,420,420,420,420,420,16,0,79,123.12315875000057,68.43583300000233,415.5198750000011,17.0
1638381353,1,,Aggregated,0.900000,0.000000,79,83,110,180,240,420,420,420,420,420,420,17,0,79,120.23379400000046,68.43583300000233,415.5198750000011,17.0
1638381354,1,,Aggregated,0.900000,0.000000,79,82,110,180,240,420,420,420,420,420,420,18,0,79,118.08662255555606,68.43583300000233,415.5198750000011,17.0
1638381355,1,,Aggregated,0.900000,0.000000,79,83,110,180,240,420,420,420,420,420,420,19,0,79,116.66987489473723,68.43583300000233,415.5198750000011,17.0
1638381356,1,,Aggregated,0.900000,0.000000,79,83,110,180,240,420,420,420,420,420,420,20,0,79,114.8861936500003,68.43583300000233,415.5198750000011,17.0
1638381357,1,,Aggregated,0.900000,0.000000,79,82,91,110,180,240,420,420,420,420,420,21,0,79,112.94188480952423,68.43583300000233,415.5198750000011,17.0
1638381358,1,,Aggregated,1.000000,0.000000,79,83,110,130,180,240,420,420,420,420,420,22,0,79,113.72096009090961,68.43583300000233,415.5198750000011,17.0
1638381359,1,,Aggregated,0.900000,0.000000,79,91,130,130,180,240,420,420,420,420,420,23,0,79,114.61341113043504,68.43583300000233,415.5198750000011,17.0
1638381360,1,,Aggregated,0.900000,0.000000,81,91,130,130,180,240,420,420,420,420,420,24,0,79,113.64503287500035,68.43583300000233,415.5198750000011,17.0
1638381361,1,,Aggregated,0.900000,0.000000,79,91,110,130,180,240,420,420,420,420,420,25,0,79,112.1987448800003,68.43583300000233,415.5198750000011,17.0
1638381362,1,,Aggregated,0.900000,0.000000,79,91,110,130,180,240,420,420,420,420,420,26,0,79,110.73594057692345,68.43583300000233,415.5198750000011,17.0
1638381363,1,,Aggregated,0.900000,0.000000,79,91,110,130,180,240,420,420,420,420,420,26,0,79,110.73594057692345,68.43583300000233,415.5198750000011,17.0
1638381364,1,,Aggregated,0.900000,0.000000,79,83,110,130,180,240,420,420,420,420,420,27,0,79,109.498047740741,68.43583300000233,415.5198750000011,17.0
1638381365,1,,Aggregated,0.900000,0.000000,79,83,110,130,180,240,420,420,420,420,420,28,0,79,108.18397757142874,68.43583300000233,415.5198750000011,17.0
1638381366,1,,Aggregated,0.900000,0.000000,79,84,91,130,180,240,420,420,420,420,420,29,0,79,107.3389826551727,68.43583300000233,415.5198750000011,17.0
1638381367,1,,Aggregated,0.900000,0.000000,79,83,91,130,180,240,420,420,420,420,420,30,0,79,106.28994853333361,68.43583300000233,415.5198750000011,17.0
1638381368,1,,Aggregated,0.900000,0.000000,79,83,91,110,180,240,420,420,420,420,420,31,0,79,105.44618274193586,68.43583300000233,415.5198750000011,17.0
1638381369,1,,Aggregated,1.000000,0.000000,79,83,91,110,180,240,420,420,420,420,420,32,0,79,104.56247390625019,68.43583300000233,415.5198750000011,17.0
