@timestamp,@billedDuration,@duration,@initDuration,,,
17:53.4,10319,9639.01,679.62,,,
30:02.0,9432,8876.04,555.46,,,
42:16.1,10627,9856.02,770.4,,,
54:26.6,10236,9617.69,617.63,,,
06:37.5,10838,10227.62,609.71,,,
18:49.4,11092,10476.23,615.05,,10802.25,11473.55
30:58.9,10874,10158.32,715.4,,,
43:12.6,10525,9865.47,659,,,
55:23.0,11409,10737.77,671.09,,,
07:12.1,10919,10282.33,636.25,,,
19:23.4,11161,10528.56,631.76,,,
31:40.4,10903,10252.71,649.4,,,
43:53.2,9963,9167.06,795.81,,,
56:06.6,11073,10403.01,669.75,,,
08:22.2,11296,10619.25,676.18,,,
20:35.8,12700,11080.06,1619.81,,,
32:48.2,10591,9816.21,774.06,,,
45:04.3,10902,10211.44,689.85,,,
57:16.5,10205,9533.57,671.35,,,
09:08.8,10980,10375.47,603.82,,,
