@timestamp,@billedDuration,@duration,@initDuration,,,,
42:37.7,5815,5189.01,625.62,,,,
54:48.5,5643,5020.92,622.08,,,,
06:59.6,6049,5378.01,670.18,,,,
19:11.3,6137,5489.99,646.6,,,,
31:20.1,5974,5256.98,716.94,,,,
43:35.6,6222,5556.88,664.77,,,,
55:44.2,5519,4896.5,622.33,,,,
07:34.0,5681,5071.81,608.44,,,,
19:45.4,6382,5728.87,652.29,,,,
32:02.5,5606,4958.33,646.98,,,,
44:16.7,6612,5855.97,755.12,,,6020.75,6621
56:30.8,6792,6045.06,746.74,,,,
08:45.0,6206,5599.89,605.8,,,,
20:57.4,5663,4975.31,687.53,,,,
33:10.6,6137,5278.78,857.23,,,,
45:26.4,5762,5106.57,654.7,,,,
57:39.4,5992,5295.47,695.84,,,,
09:31.4,6563,5915.7,646.91,,,,
21:44.6,5962,5270.89,691,,,,
34:00.4,5698,5067.91,629.59,,,,
