@timestamp,@billedDuration,@duration,@initDuration
2022-01-14 10:06:06.556,5019,4379.92,638.38
2022-01-14 10:18:21.289,5473,4886.84,586.01
2022-01-14 10:30:30.467,5054,4331.9,721.39
2022-01-14 10:42:43.432,5326,4674.61,651
2022-01-14 10:54:53.962,5152,4490.99,660.28
2022-01-14 11:07:05.218,5310,4655.95,653.39
2022-01-14 11:19:17.128,5300,4696.47,602.85
2022-01-14 11:31:25.724,5205,4577.17,627.53
2022-01-14 11:43:41.478,5467,4804.44,661.85
2022-01-14 11:55:50.083,5387,4671.56,714.96
2022-01-14 12:07:39.703,5338,4692.74,645.11
2022-01-14 12:19:50.859,5144,4458.8,684.72
2022-01-14 12:32:08.238,5470,4866.55,603.01
2022-01-14 12:44:22.675,5615,4893.62,721.14
2022-01-14 12:56:36.624,5459,4783.34,674.92
2022-01-14 13:08:50.357,5010,4395.17,614.13
2022-01-14 13:21:03.211,5484,4763.01,720.84
2022-01-14 13:33:16.654,5732,5081.98,649.89
2022-01-14 13:45:32.665,5735,4917.48,817.25
2022-01-14 13:57:44.947,5113,4466.09,646.59
2022-01-14 14:09:37.047,5236,4601.34,634.47
2022-01-14 14:21:50.048,5149,4514.46,633.63
2022-01-14 14:34:05.980,5219,4593.55,624.56
2022-01-14 14:46:19.753,5516,4848.5,667.01
2022-01-14 14:58:31.627,5122,4477.52,643.69
2022-01-14 15:10:23.882,5832,5072.22,759.09
2022-01-14 15:22:18.409,6338,5514.39,823.59
2022-01-14 15:34:11.575,5865,5175.46,688.61
2022-01-14 15:46:27.328,5912,4975.58,935.83
2022-01-14 15:58:39.707,4973,4321.09,651.63
2022-01-14 16:10:55.833,5343,4607.4,734.96
2022-01-14 16:23:11.661,6093,5332.14,760.28
2022-01-14 16:35:26.505,5149,4460.68,687.41
2022-01-14 16:47:40.516,5815,4722.86,1091.6
2022-01-14 16:59:31.026,5036,4355.74,679.65
2022-01-14 17:11:47.208,5490,4719.17,770.73
2022-01-14 17:24:03.365,5270,4535.32,733.72
2022-01-14 17:36:15.876,5364,4702.78,660.44
2022-01-14 17:48:33.386,5285,4622.22,662.12
2022-01-14 18:00:49.299,8871,7010.67,1859.49
2022-01-14 18:13:00.355,5058,4454.79,602.57
2022-01-14 18:25:15.401,5150,4497.74,651.65
2022-01-14 18:37:13.074,5701,4796.28,904.18
2022-01-14 18:49:30.513,5899,5099,799.25
2022-01-14 19:01:47.571,5705,5108.86,595.2
2022-01-14 19:14:05.436,5047,4391.49,655.41
2022-01-14 19:26:19.279,5225,4452.16,772.2
