@timestamp,@billedDuration,@duration,@initDuration,total,3816.9615,3998.3965
19:17.2,3236,3235.48,406.78,3642.78,,
31:27.2,3190,3189.77,430.85,3620.85,,
43:40.9,3372,3371.22,444.53,3816.53,,
55:50.2,3394,3393.71,460.08,3854.08,,
08:03.0,3396,3395.35,468.15,3864.15,,
20:12.6,3362,3361.29,646.78,4008.78,,
32:24.2,3237,3236.12,465.7,3702.7,,
44:36.9,3400,3399.61,443.97,3843.97,,
56:47.3,3488,3487.03,449.35,3937.35,,
08:36.4,3381,3380.57,467.44,3848.44,,
20:49.0,3179,3178.01,469.51,3648.51,,
33:07.3,3434,3433.55,450.37,3884.37,,
45:20.2,3500,3499.95,479.59,3979.59,,
57:33.0,3236,3235.94,448.54,3684.54,,
09:48.8,3394,3393.64,468.8,3862.8,,
21:59.8,3138,3137.56,446.72,3584.72,,
34:13.7,3278,3277.71,441.29,3719.29,,
46:29.2,3457,3456.95,429.29,3886.29,,
58:43.4,3555,3554.12,442.85,3997.85,,
10:34.2,3470,3469.57,481.64,3951.64,,
