@timestamp,@billedDuration,@duration,@initDuration,,,,
49:07.9,978,432.66,544.37,,,,
59:58.1,1613,500.69,1111.58,,,,
10:54.5,1198,473.9,723.36,,,,
21:49.8,992,454.19,537.59,,,,
32:44.1,1040,472.48,567.23,,,,
43:36.3,1045,456.24,588.55,,,,
54:28.6,1049,498.33,550.33,,,1074,1218.75
05:15.5,918,443.03,474.85,,,,
16:00.2,1022,490.19,531.68,,,,
26:46.2,1073,498.95,573.58,,,,
37:38.8,1103,482.15,620.45,,,,
48:24.5,1094,514.7,578.95,,,,
59:14.0,1093,445.97,646.08,,,,
10:06.6,997,483.02,513.12,,,,
20:57.7,1054,470.8,583.11,,,,
31:48.4,1086,476.14,609.09,,,,
42:38.3,1013,436.98,575.71,,,,
53:26.1,997,430.48,566.04,,,,
04:15.2,1032,440.52,590.63,,,,
15:04.0,1083,480.84,601.68,,,,
