@timestamp,@billedDuration,@duration,@initDuration,,,,,
49:09.3,891,365.4,524.95,,,,,
59:59.5,946,378.32,567.29,,,,,
10:56.0,958,419.65,538,,,,,
21:51.6,1204,455.08,748.45,,,,,
32:45.6,906,376.05,529.29,,,,,
43:37.7,942,385.76,556.24,,,,,
54:30.0,967,391.59,574.43,,,,,
05:16.8,940,379.99,559.31,,,,,
16:01.7,986,388.01,597.06,,,,958.35,1013.05
26:47.6,1003,394.59,608.08,,,,,
37:40.2,925,412.45,512.53,,,,,
48:25.8,937,371.9,564.48,,,,,
59:15.4,948,386.57,561.05,,,,,
10:07.9,935,381.98,552.91,,,,,
20:59.2,965,397.8,566.51,,,,,
31:49.8,911,373.74,537.21,,,,,
42:39.5,916,351.28,564.14,,,,,
53:27.4,951,378.76,571.27,,,,,
04:16.6,982,402.35,578.79,,,,,
15:05.4,954,352.99,600.98,,,,,
