@timestamp,@billedDuration,@duration,@initDuration,total,1820.6125,1879.135
38:24.7,1398,1397.19,433.01,1831.01,,
49:13.8,1374,1373.01,409.87,1783.87,,
00:04.6,1448,1447.17,430.72,1878.72,,
11:02.6,1310,1309.95,456.12,1766.12,,
21:56.2,1416,1415.17,443.96,1859.96,,
32:50.3,1395,1394.12,435.6,1830.6,,
43:42.4,1419,1418.83,446.47,1865.47,,
54:34.8,1391,1390.73,419.17,1810.17,,
05:21.5,1360,1359.9,437.49,1797.49,,
16:06.9,1392,1391.72,426.54,1818.54,,
26:52.3,1374,1373.16,448.86,1822.86,,
37:45.0,1338,1337.63,448.26,1786.26,,
48:30.3,1334,1333.54,432.81,1766.81,,
59:20.1,1358,1357.68,440.08,1798.08,,
10:12.6,1397,1396.98,449.11,1846.11,,
21:04.0,1452,1451.21,435.02,1887.02,,
31:54.5,1411,1410.31,439.66,1850.66,,
42:44.1,1293,1292.24,441.84,1734.84,,
53:31.9,1412,1411.62,434.52,1846.52,,
04:21.2,1400,1399.2,431.14,1831.14,,
