@timestamp,@billedDuration,@duration,@initDuration,,,,
38:03.4,763,236.09,526.01,,,,
48:53.2,796,325.89,469.18,,,,
59:42.6,965,402.98,561.35,,,,
10:38.9,766,256.8,508.58,,,,
21:34.1,842,316.04,525.56,,,855.2,967.85
32:29.1,879,334.35,544.09,,,,
43:21.7,936,452.94,482.52,,,,
54:12.8,1022,479.2,542.01,,,,
04:59.8,858,354.77,503.22,,,,
15:45.8,808,274.97,532.61,,,,
26:31.6,809,256.41,552.29,,,,
37:22.8,811,271.48,538.67,,,,
48:09.4,822,278.96,542.32,,,,
58:59.4,872,356.09,515.79,,,,
09:51.4,857,313.49,542.94,,,,
20:43.0,887,292.47,593.61,,,,
31:33.7,821,328.9,491.56,,,,
42:24.4,846,334.02,511.2,,,,
53:11.9,902,355.28,546.15,,,,
04:00.7,842,348.57,493.18,,,,
