@timestamp,@duration,@initDuration
30:22.2,2.25,
30:27.4,2.38,
30:32.8,3,
30:37.5,2.25,
30:42.1,3.15,
30:47.6,2.2,
30:54.2,3.01,
30:58.4,2.24,
31:02.1,2.48,
31:06.7,2.38,
31:11.9,2.65,
31:18.1,4.1,
31:23.4,2.78,
31:27.2,2.26,
31:30.9,2.99,
31:35.3,2.01,
31:40.2,2.54,
31:45.5,2.14,
31:52.2,3.25,
31:58.1,2.27,
32:04.7,2.52,
32:09.1,2.63,
32:17.5,2.5,
32:22.1,2.41,
32:27.2,1.97,
32:32.8,3.14,
32:36.9,2.17,
32:41.0,2.11,
32:44.4,2.62,
32:50.0,2.46,
32:55.7,2.5,
33:00.8,2.03,
33:05.9,2.53,
33:12.5,2.45,
33:17.5,2.65,
33:22.9,2.43,
33:27.2,2.11,
33:31.0,2.36,
33:35.6,2.46,
33:41.2,2.5,
33:45.6,2.03,
33:50.5,2.4,
33:54.3,2.64,
33:58.1,2,
34:03.4,2.07,
34:11.6,2.52,
34:16.6,2.56,
34:20.4,2.81,
34:24.4,2.48,
34:28.4,2.67,
34:35.9,2.92,
34:41.1,1.97,
34:45.8,2.02,
34:50.7,2.73,
34:55.0,2.21,
35:00.0,4.84,
35:04.6,2.36,
35:10.2,3.76,
35:15.2,2.88,
35:21.7,18.95,
35:26.1,1.97,
35:29.9,2.32,
35:34.1,2.53,
35:38.6,2.31,
35:42.7,1.81,
35:47.9,2.25,
35:52.6,2.49,
35:57.0,1.98,
36:02.1,2.1,
36:08.3,2.07,
36:13.6,3.08,
36:19.5,6.67,
36:23.7,2.58,
36:27.5,13.29,
36:31.9,8.8,
36:35.2,4.44,
36:41.8,2.32,
36:46.8,2.08,
36:51.3,2.81,
36:54.9,2.04,
36:58.6,2.46,
37:02.5,2.19,
37:06.3,2.75,
37:13.7,2.67,
37:19.1,2.1,
37:26.1,2.13,
37:30.9,2.78,
37:35.9,2.03,
37:40.5,2.65,
37:44.6,2.63,
37:49.5,2.05,
37:54.1,2.68,
37:59.0,2.02,
38:03.9,2.42,
38:10.2,2.66,
38:14.1,2.07,
38:20.4,2.32,
38:25.1,2.09,
38:28.7,2.72,
38:34.8,1.89,
38:38.5,2.36,
38:41.6,1.93,
38:45.3,2.68,
38:50.5,1.96,
38:53.9,4.03,
38:58.3,2.12,
39:03.5,2.71,
39:07.5,2.24,
39:12.6,1.91,
39:17.4,2.45,
39:22.5,2.57,
39:27.9,2.5,
39:31.7,2.66,
39:36.8,1.98,
39:42.4,2.88,
39:49.7,2.27,
39:54.0,2.06,
40:03.8,2.66,
40:08.3,2.33,
40:12.9,2.65,
40:20.7,2.09,
40:24.4,2.97,
40:29.2,2.6,
40:34.8,2.39,
40:38.7,2.06,
40:44.2,2.4,
40:48.9,2.61,
40:54.0,2.5,
40:58.6,2.02,
41:04.2,3.48,
41:09.0,2.57,
