@timestamp,@billedDuration,@duration,@initDuration,total,575.6295,623.9605
03:56.7,115,114.92,434.97,549.97,,
14:45.1,92,91.88,426.11,518.11,,
25:33.6,179,178.38,434.4,613.4,,
36:24.0,134,133.04,428.77,562.77,,
47:14.4,151,150.23,412.02,563.02,,
58:04.4,157,156.7,437.41,594.41,,
08:51.7,159,158.12,451.49,610.49,,
19:43.8,174,173.71,440.01,614.01,,
30:32.4,137,136.77,437.35,574.35,,
41:21.8,154,153.16,452.46,606.46,,
52:10.8,138,137.07,405.24,543.24,,
03:01.4,181,180.41,439.41,620.41,,
13:51.1,118,117.01,421.15,539.15,,
24:41.0,112,111.56,418.91,530.91,,
35:25.9,113,112.41,442.18,555.18,,
46:14.9,139,138.63,431.61,570.61,,
57:04.7,99,98.68,435.55,534.55,,
07:55.0,120,119.71,571.42,691.42,,
18:43.3,113,112.72,445.09,558.09,,
29:32.7,136,135.87,426.04,562.04,,
