@timestamp,@billedDuration,@duration,@initDuration,total,2731.6055,3295.2285
59:14.3,836,835.68,2058.92,2894.92,,
10:40.5,182,181.88,2044.24,2226.24,,
22:02.9,719,718.28,2061.85,2780.85,,
33:33.7,874,873.5,2028.21,2902.21,,
44:52.2,369,368.83,2048.29,2417.29,,
56:13.5,641,640.63,2084.57,2725.57,,
07:34.0,398,397.22,1960.36,2358.36,,
18:51.8,1136,1135.37,2014.58,3150.58,,
30:08.2,398,397.03,2000.25,2398.25,,
41:31.2,1121,1120.34,2158.97,3279.97,,
52:51.6,1492,1491.42,2029.87,3521.87,,
04:09.3,1155,1154.24,2043.78,3198.78,,
15:28.2,1158,1157.79,2125.3,3283.3,,
26:50.4,978,977.61,1989.33,2967.33,,
38:09.6,175,174.02,1965.12,2140.12,,
49:30.6,173,172.43,2000.45,2173.45,,
00:51.3,183,182.34,2055.54,2238.54,,
12:10.8,1197,1196.66,2064.96,3261.96,,
23:31.6,511,510.17,1966.88,2477.88,,
34:49.7,169,168.97,2065.64,2234.64,,
