@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,,
28:15.8,1511,144.06,128000000,,,,
38:46.5,1519,165.34,128000000,,,,
49:16.5,1512,151.59,128000000,,,,
59:48.7,1459,149.35,128000000,,,,
31:20.3,1513,144.48,128000000,,,,
41:53.3,1522,167.83,128000000,,,,
47:00.4,1463,135.99,128000000,,,1514.25,1610.65
10:07.8,1522,153.44,128000000,,,,
21:28.7,1423,143.78,128000000,,,,
32:59.3,1492,123.31,128000000,,,,
55:40.2,1456,149.32,128000000,,,,
07:01.4,1520,178.34,128000000,,,,
40:58.6,1584,174.87,128000000,,,,
52:18.2,1527,149.57,128000000,,,,
26:17.4,1526,179.05,128000000,,,,
37:37.6,1471,146.34,128000000,,,,
48:58.5,1737,391.99,128000000,,,,
00:17.6,1604,159.29,128000000,,,,
11:38.2,1478,165.7,128000000,,,,
22:58.2,1446,145.27,128000000,,,,
