@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
28:20.1,1806,518.88,166000000,,,
38:50.7,1531,240.35,167000000,,,
49:20.6,1536,274.84,167000000,,,
59:52.9,1796,594.81,167000000,,,
10:22.5,1842,454.93,167000000,,,
20:52.3,1430,318.53,167000000,,,
31:24.3,1547,279.57,167000000,,1618.75,1842.4
41:57.1,1582,340.16,167000000,,,
47:04.8,1642,279.3,167000000,,,
58:46.0,1518,198.98,167000000,,,
10:12.1,1790,555.64,167000000,,,
21:32.9,1628,338.87,167000000,,,
33:03.6,1850,474.71,167000000,,,
44:24.3,1609,298.58,168000000,,,
55:44.5,1449,219.47,166000000,,,
07:05.5,1643,458.81,167000000,,,
18:22.1,1381,215.11,167000000,,,
29:40.8,1626,360.07,168000000,,,
41:03.2,1666,438.97,167000000,,,
52:22.2,1503,339.63,167000000,,,
