@timestamp,@billedDuration,@duration,@initDuration,,,,
21:22.2,242,15.61,226.04,,,,
32:17.5,218,6.91,210.53,,,,
43:08.4,229,6.48,222.02,,,,
54:00.9,237,9.39,226.81,,,,
04:47.7,302,17.93,283.38,,,,
15:34.6,251,4.34,246.19,,,258.25,303.95
26:20.0,289,9.96,279.02,,,,
37:10.5,250,3.29,246.11,,,,
47:57.8,240,5.49,233.73,,,,
58:47.9,252,17.01,234.51,,,,
09:39.2,269,8.49,259.74,,,,
20:31.2,249,3.11,245.51,,,,
31:23.1,295,3.31,291.17,,,,
42:12.6,264,19.95,244.01,,,,
53:01.1,341,15.76,324.28,,,,
03:49.8,251,17.41,232.6,,,,
14:38.2,264,22.83,240.44,,,,
25:26.6,229,7.31,220.76,,,,
36:16.3,263,10.81,251.29,,,,
47:06.8,230,3.23,225.78,,,,
