@timestamp,@billedDuration,@duration,@initDuration,total,180.733,199.264
48:38.5,15,14.36,168.29,183.29,,
59:27.7,8,7.44,175.63,183.63,,
10:20.6,5,4.67,165.75,170.75,,
21:18.6,6,5.2,185.23,191.23,,
32:13.7,5,4.62,174.33,179.33,,
43:04.5,18,17.76,164.9,182.9,,
53:57.0,12,11.69,160.17,172.17,,
04:43.6,20,19.04,136.09,156.09,,
15:31.0,19,18.7,179.81,198.81,,
26:16.0,8,7.57,159.95,167.95,,
37:05.7,15,14.27,160.45,175.45,,
47:54.0,14,13.91,168.6,182.6,,
58:44.1,19,18.69,168.28,187.28,,
09:35.4,13,12.53,161.95,174.95,,
20:27.8,6,5.08,173.46,179.46,,
31:19.3,19,18.06,188.89,207.89,,
42:08.6,5,4.41,169.97,174.97,,
52:57.7,19,18.22,176.01,195.01,,
03:46.4,19,18.38,164.4,183.4,,
14:34.8,11,10.26,156.5,167.5,,
