@timestamp,@billedDuration,@duration,@initDuration
44565.96654,238,237.9,
44565.96656,174,173.77,
44565.96658,176,175.3,
44565.9666,151,150.14,
44565.96662,158,157.92,
44565.96664,158,157.61,
44565.96666,159,158.45,
44565.96667,164,163.21,
44565.96669,156,155.6,
44565.96671,158,157.58,
44565.96673,169,168.21,
44565.96675,201,200.18,
44565.96676,151,150.64,
44565.96678,156,155.32,
44565.9668,213,212.85,
44565.96682,156,155.79,
44565.96684,159,158.09,
44565.96688,205,204.73,
44565.9669,174,173.87,
44565.96692,274,273.04,
44565.96694,177,176.66,
44565.96696,222,221,
44565.96697,177,176.39,
44565.96699,200,199.85,
44565.96701,161,160.58,
44565.96703,152,151.98,
44565.96706,150,149.8,
44565.96708,197,196.59,
44565.96709,161,160.17,
44565.96711,158,157.44,
44565.96713,158,157.45,
44565.96715,148,147.25,
44565.96717,166,165.23,
44565.96719,156,155.42,
44565.96721,159,158.72,
44565.96723,173,172.87,
44565.96725,159,158.31,
44565.96726,152,151.79,
44565.96729,162,161.52,
44565.96731,159,158.51,
44565.96732,150,149.96,
44565.96734,197,196.88,
44565.96739,151,150.73,
44565.96741,156,155.62,
44565.96743,243,242.6,
44565.96745,180,179.58,
44565.96747,158,157.66,
44565.96748,159,158.49,
44565.9675,239,238.18,
44565.96752,173,172.23,
44565.96754,232,231.91,
44565.96756,174,173.69,
44565.96758,168,167.62,
44565.96759,197,196.04,
44565.96761,173,172.33,
44565.96763,170,169.93,
44565.96765,171,170.79,
44565.96767,153,152.57,
44565.96769,176,175.96,
44565.9677,166,165.33,
44565.96772,152,151.71,
44565.96774,154,154,
44565.96776,155,154.08,
44565.96778,164,163.44,
44565.9678,157,156.1,
44565.96782,201,200.14,
44565.96784,211,210.83,
44565.96786,181,180.83,
44565.96787,154,153.88,
44565.96789,180,179.92,
44565.96791,155,154.2,
44565.96793,213,212.69,
44565.96795,155,154.44,
44565.96797,153,152.55,
44565.96799,152,151.97,
44565.96801,201,200.74,
44565.96802,164,163.1,
44565.96804,175,174.88,
44565.96806,210,209.6,
44565.96808,175,174.23,
44565.96809,197,196.65,
44565.96811,176,175.12,
44565.96813,172,171.89,
44565.96815,216,215.61,
44565.96817,205,204.57,
44565.96819,178,177.24,
44565.96821,180,179.09,
44565.96823,184,183.85,
44565.96825,148,147.35,
44565.96827,181,180.21,
44565.96829,169,168.5,
44565.9683,175,174.18,
44565.96832,176,175.1,
44565.96834,220,219.79,
44565.96836,214,213.8,
44565.96838,175,174.46,
44565.9684,158,157.14,
44565.96842,222,221.2,
44565.96844,192,191.51,
44565.96846,174,173.47,
44565.96848,201,200.18,
44565.96849,219,218.31,
44565.96851,159,158.86,
44565.96853,149,148.48,
44565.96855,214,213.27,
44565.96858,214,213.64,
44565.9686,154,153.83,
