@timestamp,@billedDuration,@duration,@initDuration
2022-01-08 20:10:41.264,7908,7907.79,
2022-01-08 20:21:35.294,1252,134.08,1117.32
2022-01-08 20:32:06.847,1204,123.82,1079.44
2022-01-08 20:42:38.092,1247,129.29,1117.18
2022-01-08 20:53:07.786,1291,146.15,1143.88
2022-01-08 21:03:37.500,1255,132.59,1122.05
2022-01-08 21:14:09.853,1273,141.71,1130.83
2022-01-08 21:24:39.967,1453,129.52,1323.28
2022-01-08 21:35:11.868,1237,128.74,1107.41
2022-01-08 21:45:42.954,1343,139.73,1202.73
2022-01-08 21:56:12.219,1305,145.44,1159.52
2022-01-08 22:06:45.766,1769,126.82,1641.31
2022-01-08 22:17:20.707,1374,147.18,1225.93
2022-01-08 22:27:50.773,1546,123.68,1422.23
2022-01-08 22:38:21.281,1323,141.76,1180.35
2022-01-08 22:48:51.939,1212,125.17,1086.46
2022-01-08 22:59:22.135,1345,139.64,1204.54
2022-01-08 23:09:52.826,1253,131.92,1120.94
2022-01-08 23:20:23.385,1245,132.21,1112.5
2022-01-08 23:30:54.027,1231,126.34,1104.35
2022-01-08 23:41:24.387,1219,123.22,1095.76
2022-01-08 23:52:02.770,1245,138.66,1106.13
2022-01-09 00:02:35.863,1251,136.09,1114.27
2022-01-09 00:13:06.979,1205,133.25,1071.71
2022-01-09 00:23:39.654,1278,139.02,1138.38
2022-01-09 00:34:10.685,1285,141.39,1143.24
2022-01-09 00:44:43.834,1303,137.32,1165.21
2022-01-09 00:55:14.974,1187,125.06,1061.01
2022-01-09 02:22:29.379,2548,1407.95,1139.32
2022-01-09 02:32:51.620,2377,1288.14,1088.53
2022-01-09 02:43:12.260,2565,1398.63,1165.51
2022-01-09 02:53:32.480,2630,1364.52,1265.45
2022-01-09 03:03:53.119,2411,1334.41,1076.32
2022-01-09 03:14:13.020,2571,1403.81,1167.14
2022-01-09 03:24:33.420,2429,1333.65,1094.89
2022-01-09 03:34:55.379,2452,1376.27,1074.95
2022-01-09 03:45:16.420,2354,1279.43,1073.83
2022-01-09 03:55:36.840,2349,1285.9,1062.6
2022-01-09 04:05:56.879,2425,1337.3,1087.14
2022-01-09 04:16:18.200,2577,1439.66,1136.45
2022-01-09 04:26:27.239,2511,1391.93,1118.66
2022-01-09 04:36:48.139,2468,1357.81,1109.83
2022-01-09 04:46:55.500,2479,1344.57,1133.46
2022-01-09 04:57:16.839,2553,1414.1,1138.85
2022-01-09 05:07:38.219,2452,1358.37,1093.13
2022-01-09 05:17:58.539,2385,1286.78,1098.16
2022-01-09 05:28:19.879,2508,1383.8,1123.23
2022-01-09 05:38:27.059,2436,1360.84,1075.15
2022-01-09 05:48:47.958,2636,1503.38,1132.59
2022-01-09 05:59:08.579,2491,1381.11,1109.51
2022-01-09 06:09:28.680,2593,1434.85,1157.9
2022-01-09 06:19:50.799,2516,1412.52,1103.37
2022-01-09 06:30:11.739,2625,1468.78,1156.21
2022-01-09 06:40:32.379,2595,1428.7,1166.23
2022-01-09 06:50:52.199,2530,1434.08,1095.31
2022-01-09 07:01:13.679,2513,1385.87,1126.21
2022-01-09 07:11:20.861,2429,1326.48,1101.74
2022-01-09 07:21:41.779,2381,1306.17,1074.68
2022-01-09 07:31:48.900,2440,1361.29,1077.74
2022-01-09 07:42:10.619,2577,1447.02,1129.47
2022-01-09 07:52:34.539,2360,1308.26,1051.07
2022-01-09 08:02:55.399,2579,1416.81,1161.2
2022-01-09 08:13:16.359,2387,1301.9,1084.85
2022-01-09 08:23:39.420,2462,1375.03,1086.73
2022-01-09 08:34:00.040,2567,1434.3,1132.39
2022-01-09 08:44:20.419,2535,1419.74,1114.41
2022-01-09 08:54:42.080,2569,1399.97,1168.96
2022-01-09 09:05:01.979,2366,1276.84,1088.58
2022-01-09 09:15:23.260,2562,1434.67,1127.17
2022-01-09 09:25:43.860,2386,1292.86,1092.61
2022-01-09 09:36:04.899,2349,1267.85,1080.25
2022-01-09 09:46:27.159,2613,1466.17,1146.35
2022-01-09 09:56:47.939,2737,1514.63,1221.85
2022-01-09 10:07:08.500,2541,1242.3,1298.47
2022-01-09 10:17:30.061,2372,1289.7,1081.43
2022-01-09 10:27:51.379,2496,1279.29,1216.64
2022-01-09 10:38:12.060,2651,1347.25,1303.57
2022-01-09 10:48:32.759,2461,1168.14,1292.07
2022-01-09 10:58:52.498,2518,1373.16,1143.95
2022-01-09 11:09:14.479,2425,1338.48,1085.96
2022-01-09 11:19:35.100,2416,1192.35,1223.16
2022-01-09 11:29:56.140,2513,1270,1242.33
2022-01-09 11:40:17.401,3550,2417.86,1131.82
2022-01-09 11:50:38.219,2369,1297.15,1071.21
2022-01-09 12:00:58.121,2468,1375.05,1092.59
2022-01-09 12:11:18.879,2525,1417.75,1106.58
2022-01-09 12:21:26.540,2469,1373.23,1095.26
2022-01-09 12:31:47.719,2534,1385.13,1148.68
2022-01-09 12:42:09.859,2610,1446.44,1163.1
2022-01-09 12:52:33.399,2531,1391.85,1138.81
2022-01-09 13:02:53.679,2748,1410.29,1336.78
2022-01-09 13:13:14.539,2396,1293.39,1102.13
2022-01-09 13:23:35.460,2456,1330.81,1124.69
2022-01-09 13:33:54.080,2406,1350.81,1054.51
2022-01-09 13:44:14.419,2573,1432.43,1139.82
2022-01-09 13:54:35.639,2440,1332.09,1106.94
2022-01-09 14:04:42.359,2507,1414.94,1091.69
2022-01-09 14:15:02.779,2521,1401.34,1119.03
2022-01-09 14:25:23.359,2345,1283.58,1061.34
2022-01-09 14:35:32.138,2615,1440.13,1174.43
2022-01-09 14:45:53.619,2776,1595.92,1179.64
2022-01-09 14:56:14.420,2490,1380.47,1108.94
2022-01-09 15:06:34.259,2533,1397.37,1135.54
2022-01-09 15:16:54.080,2454,1350.46,1103.29
2022-01-09 15:27:13.519,2377,1288.68,1087.77
2022-01-09 15:37:34.299,2505,1373.39,1131.39
2022-01-09 15:47:56.499,2608,1466.07,1141.31
2022-01-09 15:58:17.059,2488,1356.61,1131.29
2022-01-09 16:08:23.439,2587,1440.7,1145.97
2022-01-09 16:18:45.559,2501,1389.56,1110.88
2022-01-09 16:29:04.139,2575,1456.4,1117.8
2022-01-09 16:39:12.460,2618,1354.31,1263.06
2022-01-09 16:49:32.119,2532,1339.27,1192.34
2022-01-09 16:59:39.280,2391,1319.89,1071.07
2022-01-09 17:09:59.520,2346,1258.12,1087.51
2022-01-09 17:20:20.559,2498,1377.94,1119.69
2022-01-09 17:30:42.279,2399,1318.41,1080.27
2022-01-09 17:41:01.459,2475,1372.13,1101.88
2022-01-09 17:51:21.719,2338,1273.21,1064.54
2022-01-09 18:01:29.179,2500,1395.4,1104.34
2022-01-09 18:11:51.302,3447,2360.91,1085.91
2022-01-09 18:22:12.660,2589,1469.24,1119.36
2022-01-09 18:32:33.299,2477,1345.65,1130.48
2022-01-09 18:42:52.819,2557,1432.8,1124.04
2022-01-09 18:53:13.159,2446,1332.11,1112.9
2022-01-09 19:03:34.119,2393,1304.05,1088.35
2022-01-09 19:13:54.118,2593,1389.96,1202.15
2022-01-09 19:24:14.759,2456,1365.82,1089.96
2022-01-09 19:34:35.539,2461,1343.09,1117.9
2022-01-09 19:44:42.439,2400,1295.55,1103.94
2022-01-09 19:55:02.260,2568,1437.94,1129.84
2022-01-09 20:05:23.381,2642,1347.86,1293.19
2022-01-09 20:15:44.659,2465,1357.63,1106.59
2022-01-09 20:26:05.539,2491,1377.56,1113.05
2022-01-09 20:36:27.220,2505,1382.93,1121.72
2022-01-09 20:46:47.878,2463,1361.7,1100.49
2022-01-09 20:56:54.659,2571,1409.76,1161.16
2022-01-09 21:07:16.279,2416,1323.47,1091.54
2022-01-09 21:17:37.120,2563,1304.12,1258.82
2022-01-09 21:27:58.340,2528,1400.96,1126.77
2022-01-09 21:38:18.679,2548,1421.81,1125.24
2022-01-09 21:48:39.399,2464,1241.29,1222.65
2022-01-09 21:58:59.379,2474,1369.02,1104.55
2022-01-09 22:09:19.939,2423,1354.9,1067.76
2022-01-09 22:19:40.399,2357,1271.01,1085.01
2022-01-09 22:29:46.379,2341,1272.57,1067.5
2022-01-09 22:40:06.579,2421,1314.73,1105.62
2022-01-09 22:50:27.121,2442,1350.73,1091.27
2022-01-09 23:00:47.600,2644,1460.23,1183.13
2022-01-09 23:11:09.540,2368,1294.3,1073.18
2022-01-09 23:21:29.019,2606,1443.25,1162
2022-01-09 23:31:49.359,2526,1392.4,1133.36
2022-01-09 23:42:10.699,2615,1294.87,1319.46
2022-01-09 23:52:34.619,2546,1402.61,1142.49
2022-01-10 00:02:41.220,2369,1296.72,1071.96
2022-01-10 00:13:01.899,2650,1330.96,1318.77
2022-01-10 00:23:22.019,2522,1375.01,1146.91
2022-01-10 00:33:42.959,2583,1430.34,1151.93
2022-01-10 00:44:03.800,2476,1365.4,1110.45
2022-01-10 00:54:23.180,2425,1324.87,1099.86
2022-01-10 01:04:43.719,2538,1415.4,1121.67
2022-01-10 01:15:05.060,2638,1336.34,1300.99
2022-01-10 01:25:24.719,2663,1474.25,1188.37
2022-01-10 01:35:45.759,2534,1426.81,1106.39
2022-01-10 01:46:05.995,2476,1372.16,1102.85
2022-01-10 01:56:25.679,2528,1391,1136.16
2022-01-10 02:06:45.719,2500,1388.87,1110.49
2022-01-10 02:17:07.118,2556,1282.59,1273.4
