@timestamp,@billedDuration,@duration,@initDuration,,,,
21:44.4,1259,122.81,1135.72,,,,
32:16.8,1268,119.77,1148.17,,,,
42:48.2,1229,119.46,1108.83,,,,
53:17.5,1320,136.18,1183.61,,,,
03:48.7,1282,124.81,1157.18,,,1320.8,1574.75
14:19.7,1192,113.82,1077.86,,,,
24:49.8,1202,113.32,1087.7,,,,
35:22.9,1253,129.04,1123.58,,,,
45:53.0,1206,116.08,1089.13,,,,
56:22.6,1208,118.28,1089.38,,,,
06:57.2,1288,130.49,1156.86,,,,
17:31.3,1520,109.99,1409.31,,,,
28:01.7,1213,122.26,1090.3,,,,
38:31.6,1296,125.81,1169.96,,,,
49:02.5,1568,114.88,1452.98,,,,
59:31.9,1426,115.63,1310.21,,,,
10:01.8,1242,127.73,1113.49,,,,
20:33.3,1514,113.12,1400.3,,,,
31:03.9,1703,118.87,1583.59,,,,
41:33.9,1227,119.78,1106.55,,,,
