@timestamp,@billedDuration,@duration,@initDuration,,,
54:19.8,1320,205.3,1114.15,,,
04:49.5,1285,195.71,1089.06,,,
15:23.7,1391,216.87,1173.8,,,
25:55.9,1370,218.18,1151.33,,,
36:28.7,1363,225.07,1137.54,,,
47:03.6,1393,189.49,1202.51,,,
57:35.3,1308,206.46,1101.09,,,
08:07.4,1375,210.18,1164.7,,,
18:39.1,1282,208.29,1073.63,,,
29:10.3,1425,194.79,1229.21,,1453,1539.75
39:44.5,1369,223.22,1145.75,,,
50:16.7,1329,210.29,1117.79,,,
00:48.5,1319,207.73,1110.71,,,
11:24.3,1342,208.19,1133.23,,,
22:02.1,3720,479.41,3240.35,,,
32:36.4,1294,210.85,1082.36,,,
43:11.0,1279,193.79,1084.47,,,
53:42.4,1285,199.57,1085.04,,,
04:12.8,1311,199.27,1110.88,,,
14:44.3,1300,197,1102.79,,,
