@timestamp,@billedDuration,@duration,@initDuration,total,2038.957,2099.6795
18:09.7,1682,1681.66,450.16,2132.16,,
28:46.6,1640,1639.93,441.41,2081.41,,
39:25.2,1604,1603.16,449.13,2053.13,,
50:04.7,1603,1602.34,445.6,2048.6,,
00:44.6,1646,1645.5,451.97,2097.97,,
11:25.0,1562,1561.05,432.48,1994.48,,
22:00.7,1537,1536.28,424.25,1961.25,,
32:42.7,1580,1579.65,433.9,2013.9,,
43:21.8,1583,1582.63,442.8,2025.8,,
53:59.0,1607,1606.89,448.04,2055.04,,
04:41.1,1607,1606.77,434.44,2041.44,,
15:20.8,1599,1598.19,450.56,2049.56,,
25:58.0,1574,1573.38,441.84,2015.84,,
36:38.9,1563,1562.45,440.93,2003.93,,
47:15.1,1586,1585.6,442.39,2028.39,,
57:54.6,1595,1594.6,442.67,2037.67,,
08:29.1,1647,1646.12,447.46,2094.46,,
19:05.7,1567,1566.73,436.6,2003.6,,
29:42.8,1597,1596.89,439.16,2036.16,,
40:19.7,1569,1568.75,435.35,2004.35,,
