@timestamp,@billedDuration,@duration,@initDuration,,,,
33:55.0,532,357.39,174.42,,,,
54:16.3,521,349.29,171.66,,,,
04:25.7,523,357.43,165.1,,,,
14:36.2,525,353.19,171.05,,,522.5,545.05
24:46.0,513,333.3,178.82,,,,
34:55.6,514,349.15,164.81,,,,
45:05.4,546,363.27,182.68,,,,
55:15.2,523,353.39,169.41,,,,
05:24.9,528,354.2,173.7,,,,
15:35.1,522,352.99,168.07,,,,
25:45.4,545,361.51,182.56,,,,
35:55.1,528,357.35,170.03,,,,
46:04.9,524,353.1,170.75,,,,
56:15.1,509,333.11,175.18,,,,
06:25.3,497,317.19,179.57,,,,
16:34.9,531,357.52,172.68,,,,
26:45.0,530,353.17,175.92,,,,
36:54.1,528,359.18,168.72,,,,
47:04.0,492,328.79,162.96,,,,
57:14.4,519,350.75,167.72,,,,
