@timestamp,@billedDuration,@duration,@initDuration,total,292.591,303.558
23:51.5,178,177.23,116.45,294.45,,
34:02.6,172,171.73,121.32,293.32,,
44:13.4,184,183.43,109.86,293.86,,
54:23.5,178,177.01,110.17,288.17,,
04:33.0,175,174.85,110.35,285.35,,
14:43.2,182,181.02,112.41,294.41,,
24:53.2,174,173.6,113.48,287.48,,
35:02.8,220,219.44,118.29,338.29,,
45:13.0,174,173.04,113.4,287.4,,
55:22.8,182,181.04,112.23,294.23,,
05:31.9,166,165.04,112.67,278.67,,
15:41.9,154,153.13,114.43,268.43,,
25:51.6,173,172.17,109.94,282.94,,
36:01.6,179,178.71,110.82,289.82,,
46:12.5,185,184.99,112.44,297.44,,
56:21.5,181,180.77,108.95,289.95,,
06:31.9,180,179.57,117.64,297.64,,
16:41.3,184,183.46,113.89,297.89,,
26:51.4,186,185.37,115.73,301.73,,
37:00.7,180,179.03,110.35,290.35,,
