@timestamp,@billedDuration,@duration,@initDuration
2022-01-02 04:59:19.761,706,261.06,444.47
2022-01-02 05:09:20.839,449,277.34,171.52
2022-01-02 05:19:21.081,423,245.36,176.75
2022-01-02 05:29:22.062,422,252.98,168.45
2022-01-02 05:39:23.559,427,253.06,173.32
2022-01-02 05:59:24.800,620,264.82,355.11
2022-01-02 06:09:25.663,471,261.23,209.05
2022-01-02 06:19:26.520,425,260.87,163.34
2022-01-02 06:29:27.319,433,261.21,171.26
2022-01-02 06:39:28.162,422,249.21,172.63
2022-01-02 06:49:29.921,436,261.11,174.29
2022-01-02 06:59:30.892,431,253.31,176.98
2022-01-02 07:09:32.062,427,261.05,165.68
